Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments
Aspisoma_sp_F_f1_xy.tif,NCC Ent 14,Aspisoma sp,F1,mechano,NA,179.966,59.904,1,yellow
Aspisoma_sp_F_f1_xy.tif,NCC Ent 14,Aspisoma sp,F1,mechano,NA,159.618,42.085,2,yellow
Aspisoma_sp_F_f1_xy.tif,NCC Ent 14,Aspisoma sp,F1,mechano,NA,199.302,83.032,3,yellow
Aspisoma_sp_F_f1_xy.tif,NCC Ent 14,Aspisoma sp,F1,mechano,NA,201.071,97.692,4,yellow
Aspisoma_sp_F_f1_xy.tif,NCC Ent 14,Aspisoma sp,F1,mechano,NA,219.775,109.825,5,yellow
Aspisoma_sp_F_f1_xy.tif,NCC Ent 14,Aspisoma sp,F1,mechano,NA,236.71,122.715,6,yellow
Aspisoma_sp_F_f1_xy.tif,NCC Ent 14,Aspisoma sp,F1,mechano,NA,220.787,126.507,7,yellow
Aspisoma_sp_F_f1_xy.tif,NCC Ent 14,Aspisoma sp,F1,mechano,NA,193.236,107.297,8,yellow
Aspisoma_sp_F_f1_xy.tif,NCC Ent 14,Aspisoma sp,F1,mechano,NA,165.053,69.383,9,yellow
Aspisoma_sp_F_f1_xy.tif,NCC Ent 14,Aspisoma sp,F1,mechano,NA,140.661,20.094,10,yellow
Aspisoma_sp_F_f1_xy.tif,NCC Ent 14,Aspisoma sp,F1,mechano,NA,159.618,38.546,11,yellow
Aspisoma_sp_F_f1_xy.tif,NCC Ent 14,Aspisoma sp,F1,mechano,NA,127.518,20.094,12,yellow
Aspisoma_sp_F_f1_xy.tif,NCC Ent 14,Aspisoma sp,F1,mechano,NA,134.595,36.018,13,yellow
Aspisoma_sp_F_f1_xy.tif,NCC Ent 14,Aspisoma sp,F1,mechano,NA,146.222,61.8,14,yellow
Aspisoma_sp_F_f1_xy.tif,NCC Ent 14,Aspisoma sp,F1,mechano,NA,141.925,74.185,15,yellow
Aspisoma_sp_F_f1_xy.tif,NCC Ent 14,Aspisoma sp,F1,mechano,NA,123.979,50.931,16,yellow
Aspisoma_sp_F_f1_xy.tif,NCC Ent 14,Aspisoma sp,F1,mechano,NA,117.744,48.235,17,yellow
