Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,146.355,206.51,1,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,161.859,187.906,2,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,162.479,173.642,3,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,189.766,153.797,4,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,173.642,199.688,5,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,179.844,186.045,6,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,196.588,193.487,7,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,206.51,165.58,8,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,216.432,176.123,9,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,233.177,154.417,10,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,225.115,145.115,11,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,234.417,122.17,12,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,231.316,106.666,13,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,164.96,220.774,14,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,181.084,218.293,15,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,202.169,218.293,16,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,231.316,193.487,17,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,275.347,158.759,18,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,265.424,177.983,19,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,251.781,137.053,20,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,260.463,96.743,21,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,261.083,83.1,22,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,287.75,62.015,23,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,297.052,74.418,24,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,316.277,52.093,25,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,323.718,65.116,26,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,301.393,86.821,27,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,321.858,99.224,28,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,289.61,112.247,29,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,264.804,130.232,30,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,282.168,130.232,31,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,252.401,169.921,32,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,217.053,193.487,33,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,235.037,213.952,34,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,174.262,248.68,35,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,197.828,248.68,36,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,269.765,201.549,37,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,263.564,191.006,38,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,319.377,153.797,39,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,295.812,156.898,40,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,334.261,104.805,41,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,346.044,77.519,42,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,359.687,84.961,43,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,373.331,97.984,44,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,395.656,103.565,45,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,408.679,110.387,46,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,357.827,148.836,47,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,341.703,120.309,48,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,354.726,129.611,49,yellow
B wickershamorum f1_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F1,mechano,NA,378.292,123.41,50,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,153.52,255.201,1,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,152.19,237.257,2,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,146.874,227.289,3,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,171.463,220.643,4,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,183.426,229.947,5,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,177.445,252.543,6,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,213.332,198.711,7,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,237.922,171.463,8,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,247.226,184.755,9,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,219.978,142.222,10,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,239.916,127.601,11,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,255.866,124.278,12,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,255.866,144.215,13,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,258.524,158.172,14,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,203.363,238.587,15,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,192.066,259.189,16,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,131.588,286.437,17,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,146.874,277.133,18,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,132.917,267.164,19,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,296.406,166.811,20,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,311.691,138.899,21,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,326.312,139.563,22,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,301.058,84.403,23,yellow
B wickershamorum f2_xy.tif,LACM Ent 574189,Bicellonycha wickershamorum,F2,mechano,NA,281.785,110.986,24,yellow
