Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,17.061,85.482,1,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,18.816,97.061,2,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,16.009,110.044,3,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,31.447,87.588,4,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,37.061,106.535,5,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,20.57,122.675,6,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,24.43,137.412,7,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,35.658,129.693,8,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,51.447,120.921,9,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,61.974,113.904,10,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,68.289,100.921,11,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,65.132,88.64,12,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,73.553,78.465,13,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,92.5,81.623,14,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,100.219,89.693,15,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,98.816,107.939,16,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,99.167,124.079,17,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,70.746,129.693,18,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,115.658,67.237,19,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,113.553,71.447,20,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,123.026,79.868,21,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,117.412,94.605,22,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,135.658,69.342,23,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,143.728,74.605,24,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,150.395,89.693,25,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,138.114,104.781,26,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,133.202,116.009,27,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,148.991,128.289,28,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,157.412,64.079,29,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,185.833,61.974,30,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,182.325,70.746,31,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,177.061,128.64,32,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,200.219,156.36,33,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,203.728,102.325,34,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,197.412,90.044,35,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,200.921,78.816,36,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,216.711,69.693,37,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,241.623,61.272,38,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,239.868,73.202,39,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,237.763,83.026,40,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,240.921,92.149,41,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,238.816,102.675,42,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,233.904,114.254,43,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,192.149,111.798,44,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,231.096,141.272,45,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,237.061,149.342,46,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,217.061,154.605,47,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,119.167,139.518,48,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,mechano,NA,165.132,114.956,49,yellow,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,olfactory,NA,159.211,102.632,1,pink,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,olfactory,trichoid,168.289,69.693,2,pink,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,olfactory,trichoid,204.781,62.675,3,pink,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,olfactory,trichoid,225.132,60.921,4,pink,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,olfactory,trichoid,226.184,66.886,5,pink,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,olfactory,NA,200.219,123.026,6,pink,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,olfactory,trichoid,233.904,129.342,7,pink,,,,,,,,,,,
bicelloynchaM f1_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F1,olfactory,trichoid,207.588,136.711,8,pink,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,10.286,74.857,1,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,12.048,95.476,2,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,17,108.048,3,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,52.81,120.238,4,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,42.143,104.619,5,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,42.143,86.714,6,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,57.381,66.905,7,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,49.762,59.667,8,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,31.476,58.905,9,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,18.143,58.524,10,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,89,82.143,11,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,101.571,71.476,12,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,79.857,65.762,13,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,118.714,63.476,14,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,122.143,69.19,15,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,125.571,80.619,16,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,136.619,106.524,17,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,114.143,114.524,18,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,119.095,130.905,19,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,137.381,125.19,20,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,156.048,95.476,21,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,154.524,81.762,22,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,178.143,67.286,23,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,216.619,88.619,24,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,206.714,99.667,25,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,209,111.857,26,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,216.238,122.905,27,yellow,,,,,,,,,,,
bicelloynchaM f2_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F2,mechano,NA,178.524,127.857,28,yellow,,,,,,,,,,,
