Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments
bicelloynchaF f1_xy.tif,NCC Ent 3,Bicellonycha wickershamorum,F1,mechano,NA,52.226,216.477,1,yellow
bicelloynchaF f1_xy.tif,NCC Ent 3,Bicellonycha wickershamorum,F1,mechano,NA,74.95,223.853,2,yellow
bicelloynchaF f1_xy.tif,NCC Ent 3,Bicellonycha wickershamorum,F1,mechano,NA,104.85,234.816,3,yellow
bicelloynchaF f1_xy.tif,NCC Ent 3,Bicellonycha wickershamorum,F1,mechano,NA,96.677,214.085,4,yellow
bicelloynchaF f1_xy.tif,NCC Ent 3,Bicellonycha wickershamorum,F1,mechano,NA,73.554,188.371,5,yellow
bicelloynchaF f1_xy.tif,NCC Ent 3,Bicellonycha wickershamorum,F1,mechano,NA,86.91,185.979,6,yellow
bicelloynchaF f1_xy.tif,NCC Ent 3,Bicellonycha wickershamorum,F1,mechano,NA,132.159,258.005,7,yellow
bicelloynchaF f1_xy.tif,NCC Ent 3,Bicellonycha wickershamorum,F1,mechano,NA,159.002,248.437,8,yellow
bicelloynchaF f1_xy.tif,NCC Ent 3,Bicellonycha wickershamorum,F1,mechano,NA,168.039,267.042,9,yellow
bicelloynchaF f1_xy.tif,NCC Ent 3,Bicellonycha wickershamorum,F1,mechano,NA,48.172,201.926,10,yellow
bicelloynchaF f1_xy.tif,NCC Ent 3,Bicellonycha wickershamorum,F1,mechano,NA,135.082,218.138,11,yellow
bicelloynchaF f1_xy.tif,NCC Ent 3,Bicellonycha wickershamorum,F1,mechano,NA,135.348,195.281,12,yellow
bicelloynchaF f1_xy.tif,NCC Ent 3,Bicellonycha wickershamorum,F1,mechano,NA,113.288,179.866,13,yellow
bicelloynchaF f1_xy.tif,NCC Ent 3,Bicellonycha wickershamorum,F1,mechano,NA,109.036,155.946,14,yellow
bicelloynchaF f1_xy.tif,NCC Ent 3,Bicellonycha wickershamorum,F1,mechano,NA,203.653,237.806,15,yellow
