Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments
Cratomorphus_sp_f1_xy.tif,NCC Ent 12,Cratomorphus sp,F1,mechano,NA,68.238,28.36,1,yellow
Cratomorphus_sp_f1_xy.tif,NCC Ent 12,Cratomorphus sp,F1,mechano,NA,84.862,41.725,2,yellow
Cratomorphus_sp_f1_xy.tif,NCC Ent 12,Cratomorphus sp,F1,mechano,NA,62.696,47.049,3,yellow
Cratomorphus_sp_f1_xy.tif,NCC Ent 12,Cratomorphus sp,F1,mechano,NA,52.699,29.447,4,yellow
Cratomorphus_sp_f1_xy.tif,NCC Ent 12,Cratomorphus sp,F1,mechano,NA,77.039,15.212,5,yellow
Cratomorphus_sp_f1_xy.tif,NCC Ent 12,Cratomorphus sp,F1,mechano,NA,119.416,19.559,6,yellow
Cratomorphus_sp_f1_xy.tif,NCC Ent 12,Cratomorphus sp,F1,mechano,NA,108.767,24.774,7,yellow
Cratomorphus_sp_f1_xy.tif,NCC Ent 12,Cratomorphus sp,F1,mechano,NA,106.92,39.66,8,yellow
Cratomorphus_sp_f1_xy.tif,NCC Ent 12,Cratomorphus sp,F1,mechano,NA,102.067,69.469,9,yellow
Cratomorphus_sp_f1_xy.tif,NCC Ent 12,Cratomorphus sp,F1,mechano,NA,115.251,73.091,10,yellow
Cratomorphus_sp_f1_xy.tif,NCC Ent 12,Cratomorphus sp,F1,mechano,NA,358.501,280.412,11,yellow
Cratomorphus_sp_f1_xy.tif,NCC Ent 12,Cratomorphus sp,F1,mechano,NA,334.452,269.111,12,yellow
Cratomorphus_sp_f1_xy.tif,NCC Ent 12,Cratomorphus sp,F1,mechano,NA,365.745,273.313,13,yellow
Cratomorphus_sp_f1_xy.tif,NCC Ent 12,Cratomorphus sp,F1,mechano,NA,293.922,241.548,14,yellow
Cratomorphus_sp_f1_xy.tif,NCC Ent 12,Cratomorphus sp,F1,mechano,NA,278.058,241.766,15,yellow
