Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,49.459,63.243,1,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,54.324,44.595,2,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,70,43.514,3,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,79.459,23.514,4,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,61.081,12.973,5,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,50.27,18.649,6,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,112.973,48.378,7,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,112.973,12.973,8,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,98.919,15.135,9,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,86.216,56.757,10,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,93.514,49.73,11,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,112.162,72.162,12,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,75.405,78.649,13,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,63.514,79.459,14,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,62.432,105.135,15,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,30.541,63.514,16,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,47.838,86.757,17,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,35.676,90.811,18,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,21.081,70.541,19,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,5.405,76.757,20,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,18.108,98.649,21,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,52.162,127.568,22,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,79.73,112.973,23,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,109.189,97.297,24,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,122.973,123.243,25,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,122.162,141.081,26,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,101.351,121.892,27,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,101.622,144.054,28,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,79.459,164.865,29,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,108.919,174.324,30,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,91.892,153.514,31,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,44.324,155.405,32,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,64.324,178.108,33,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,18.108,137.297,34,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,51.351,184.865,35,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,8.649,112.162,36,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,29.189,20.27,37,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,12.432,12.432,38,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,124.595,52.162,39,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,150.541,61.081,40,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,164.865,87.568,41,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,144.865,100.811,42,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,128.108,102.703,43,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,153.514,120.541,44,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,147.297,137.568,45,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,167.027,147.838,46,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,151.892,181.622,47,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,176.486,171.351,48,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,190.27,162.432,49,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,204.595,157.568,50,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,205.946,134.595,51,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,179.73,131.622,52,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,179.73,108.108,53,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,164.054,55.676,54,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,203.784,115.676,55,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,223.514,130.541,56,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,225.946,116.486,57,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,248.649,123.514,58,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,251.622,99.189,59,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,223.784,91.081,60,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,193.243,60.811,61,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,192.973,78.919,62,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,167.027,35.135,63,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,148.108,7.838,64,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,134.595,12.162,65,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,130.811,40,66,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,160.541,101.892,67,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,136.757,69.459,68,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,215.405,64.054,69,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,189.189,40.541,70,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,124.054,157.297,71,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,31.351,164.054,72,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,10.811,151.081,73,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,7.297,168.108,74,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,12.162,37.027,75,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,39.459,135.135,76,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,73.784,132.973,77,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,92.703,81.892,78,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,mechano,NA,91.892,99.189,79,yellow
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,olfactory,basiconica,98.919,35.946,1,pink
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,olfactory,trichoid,150,83.243,2,pink
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,olfactory,NA,65.405,154.865,3,pink
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,olfactory,NA,14.054,51.081,4,pink
e californica f1L-xy.tif,LACM Ent 574199,Ellychnia californica,F1,olfactory,NA,4.595,31.622,5,pink
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,21.884,3.283,1,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,17.143,13.86,2,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,6.565,22.979,3,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,40.851,34.65,4,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,28.815,38.663,5,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,26.991,59.818,6,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,24.438,70.03,7,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,44.498,68.571,8,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,60.182,51.064,9,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,79.878,68.936,10,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,64.195,78.419,11,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,44.498,90.821,12,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,25.532,102.128,13,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,51.793,160.122,14,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,35.745,131.672,15,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,59.088,148.45,16,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,69.301,134.954,17,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,55.805,106.869,18,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,94.833,94.833,19,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,110.152,131.307,20,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,114.164,155.38,21,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,133.131,198.784,22,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,125.106,177.264,23,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,133.86,166.687,24,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,129.483,134.225,25,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,152.097,144.438,26,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,173.982,176.535,27,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,159.757,179.818,28,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,168.511,203.161,29,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,185.289,228.693,30,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,150.638,213.374,31,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,146.261,226.505,32,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,138.602,240,33,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,120,238.906,34,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,117.447,217.386,35,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,100.669,194.043,36,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,80.608,178.723,37,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,106.505,165.593,38,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,87.173,149.179,39,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,189.666,153.921,40,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,193.313,179.818,41,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,210.456,165.228,42,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,219.21,155.015,43,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,205.714,124.012,44,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,184.924,101.763,45,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,155.745,101.763,46,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,136.049,114.164,47,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,118.906,88.632,48,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,101.033,39.757,49,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,78.055,25.897,50,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,76.231,47.052,51,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,59.088,24.438,52,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,71.854,4.377,53,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,88.267,2.553,54,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,103.951,9.119,55,yellow
e californica f2L-xy.tif,LACM Ent 574199,Ellychnia californica,F2,mechano,NA,126.565,20.79,56,yellow
