Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments
e corrusca f1 xy.tif,LACM Ent 574198,Ellychnia corrusca,F1,mechano,NA,103.135,79.431,1,blue
e corrusca f1 xy.tif,LACM Ent 574198,Ellychnia corrusca,F1,mechano,NA,104.109,61.248,2,blue
e corrusca f1 xy.tif,LACM Ent 574198,Ellychnia corrusca,F1,mechano,NA,77.808,33.648,3,blue
e corrusca f1 xy.tif,LACM Ent 574198,Ellychnia corrusca,F1,mechano,NA,114.5,46.636,4,blue
e corrusca f1 xy.tif,LACM Ent 574198,Ellychnia corrusca,F1,mechano,NA,127.163,33.648,5,blue
e corrusca f1 xy.tif,LACM Ent 574198,Ellychnia corrusca,F1,mechano,NA,143.074,52.481,6,blue
e corrusca f1 xy.tif,LACM Ent 574198,Ellychnia corrusca,F1,mechano,NA,160.933,39.168,7,blue
e corrusca f1 xy.tif,LACM Ent 574198,Ellychnia corrusca,F1,mechano,NA,192.105,39.817,8,blue
e corrusca f1 xy.tif,LACM Ent 574198,Ellychnia corrusca,F1,mechano,NA,184.636,58.325,9,blue
e corrusca f1 xy.tif,LACM Ent 574198,Ellychnia corrusca,F1,mechano,NA,207.041,77.158,10,blue
e corrusca f1 xy.tif,LACM Ent 574198,Ellychnia corrusca,F1,mechano,NA,169.375,68.716,11,blue
e corrusca f1 xy.tif,LACM Ent 574198,Ellychnia corrusca,F1,mechano,NA,196.001,93.718,12,blue
e corrusca f1 xy.tif,LACM Ent 574198,Ellychnia corrusca,F1,mechano,NA,158.335,80.081,13,blue
e corrusca f1 xy.tif,LACM Ent 574198,Ellychnia corrusca,F1,mechano,NA,184.961,109.954,14,blue
e corrusca f1 xy.tif,LACM Ent 574198,Ellychnia corrusca,F1,mechano,NA,152.166,121.968,15,blue
e corrusca f1 xy.tif,LACM Ent 574198,Ellychnia corrusca,F1,mechano,NA,170.674,115.799,16,blue
e corrusca f1 xy.tif,LACM Ent 574198,Ellychnia corrusca,F1,mechano,NA,151.841,95.017,17,blue
e corrusca f3xy.tif,LACM Ent 574198,Ellychnia corrusca,F3,mechano,NA,79.633,45.539,1,orange
e corrusca f3xy.tif,LACM Ent 574198,Ellychnia corrusca,F3,mechano,NA,55.727,35.352,2,orange
e corrusca f3xy.tif,LACM Ent 574198,Ellychnia corrusca,F3,mechano,NA,45.661,48.502,3,orange
e corrusca f3xy.tif,LACM Ent 574198,Ellychnia corrusca,F3,mechano,NA,97.451,77.401,4,orange
e corrusca f3xy.tif,LACM Ent 574198,Ellychnia corrusca,F3,mechano,NA,71.15,66.036,5,orange
