Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments,,,,,,,,,,,,,,,,,,
NA,LACM Ent 574194,Ellychnia simplex,F1,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,
NA,LACM Ent 574194,Ellychnia simplex,F2,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,
NA,LACM Ent 574194,Ellychnia simplex,F3,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,235.413,292.737,1,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,230.317,275.158,2,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,249.171,276.177,3,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,251.464,292.992,4,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,254.776,299.616,5,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,262.674,296.814,6,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,269.043,296.049,7,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,270.827,276.177,8,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,264.967,275.413,9,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,263.438,262.929,10,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,253.247,253.502,11,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,242.547,255.795,12,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,275.158,244.84,13,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,271.591,220.891,14,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,286.878,240.508,15,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,286.113,212.483,16,yellow,,,,,,,,,,,,,,,,,,
e simplex f4_xy.tif,LACM Ent 574194,Ellychnia simplex,F4,mechano,NA,296.049,201.273,17,yellow,,,,,,,,,,,,,,,,,,
