Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,288.065,29.355,1,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,296.613,40,2,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,304.516,49.516,3,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,282.258,57.097,4,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,273.387,43.71,5,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,234.194,35.323,6,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,251.129,49.409,7,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,251.129,62.097,8,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,269.624,68.763,9,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,255.86,78.441,10,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,277.581,78.226,11,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,233.065,69.624,12,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,216.935,63.387,13,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,202.312,56.72,14,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,193.28,45.968,15,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,213.817,33.387,16,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,218.979,46.075,17,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,178.656,60.591,18,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,166.183,50.484,19,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,154.785,68.548,20,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,167.903,73.28,21,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,194.355,73.495,22,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,177.796,84.677,23,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,236.505,82.957,24,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,233.28,96.505,25,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,254.355,102.097,26,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,296.72,86.183,27,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,185.645,106.935,28,yellow
Ellychnia_sp_f1_xy.tif,NCC Ent 15,Ellychnia sp,F1,mechano,NA,167.903,100.484,29,yellow
