Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,65.255,54.275,1,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,31.373,104.471,2,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,26.667,79.059,3,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,12.549,100.706,4,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,45.49,115.765,5,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,30.745,154.98,6,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,12.235,189.176,7,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,33.569,192.627,8,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,61.176,158.745,9,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,79.686,176.314,10,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,57.098,193.882,11,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,101.02,168.784,12,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,96.314,208,13,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,123.294,193.255,14,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,147.451,175.373,15,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,132.078,145.255,16,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,161.569,122.353,17,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,176.941,129.255,18,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,196.706,119.529,19,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,163.765,91.294,20,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,198.275,85.02,21,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,233.412,107.294,22,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,225.882,72.157,23,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,210.51,35.137,24,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,161.882,42.039,25,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,196.078,26.667,26,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,115.765,65.882,27,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,100.706,73.725,28,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,122.667,97.255,29,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,130.196,64.941,30,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,106.98,25.412,31,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,75.608,66.824,32,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,59.922,108.235,33,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,70.902,130.824,34,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,94.745,100.706,35,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,101.333,139.294,36,yellow
Lucidota sp. f1L_xy.tif,LACM Ent 574192,Lucidota sp,F1,mechano,NA,166.902,173.49,37,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,25.817,195.669,1,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,22.647,173.022,2,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,4.076,195.669,3,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,45.294,160.793,4,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,68.393,161.699,5,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,52.541,211.975,6,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,78.811,182.987,7,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,90.134,188.875,8,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,68.846,213.333,9,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,116.858,202.01,10,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,131.352,171.663,11,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,139.958,202.463,12,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,104.176,148.563,13,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,87.417,136.334,14,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,101.005,115.046,15,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,138.599,111.423,16,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,133.616,138.146,17,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,72.017,118.217,18,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,45.294,110.517,19,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,1.812,141.316,20,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,22.647,120.028,21,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,26.27,77.905,22,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,9.059,86.058,23,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,25.817,51.635,24,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,46.2,47.558,25,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,48.917,77.452,26,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,63.864,101.005,27,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,88.776,68.393,28,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,73.376,66.129,29,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,66.129,36.235,30,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,118.67,37.141,31,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,108.705,58.429,32,yellow
Lucidota sp. f2L_xy.tif,LACM Ent 574192,Lucidota sp,F2,mechano,NA,95.117,87.87,33,yellow
