Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments,,,,,,,,,,,,,,,,,,
NA,LACM Ent 574191,Lucidota punctata,F1,NA,NA,NA,NA,NA,No photo,,,,,,,,,,,,,,,,,,
NA,LACM Ent 574191,Lucidota punctata,F2,NA,NA,NA,NA,NA,No photo,,,,,,,,,,,,,,,,,,
NA,LACM Ent 574191,Lucidota punctata,F3,NA,NA,NA,NA,NA,No photo,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,mechano,NA,32.043,26.882,1,yellow,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,mechano,NA,21.29,59.14,2,yellow,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,mechano,NA,10.108,103.656,3,yellow,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,mechano,NA,30.107,84.731,4,yellow,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,mechano,NA,38.495,58.28,5,yellow,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,mechano,NA,52.688,29.032,6,yellow,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,mechano,NA,67.312,38.064,7,yellow,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,mechano,NA,87.527,32.258,8,yellow,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,mechano,NA,96.774,62.796,9,yellow,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,mechano,NA,73.118,92.903,10,yellow,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,mechano,NA,48.817,107.957,11,yellow,,,,,,,,,,,,,,,,,,
l punctata f4L-xy.tif,LACM Ent 574191,Lucidota punctata,F4,mechano,NA,30.323,122.365,12,yellow,,,,,,,,,,,,,,,,,,
