Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,mechano,NA,72,72,1,yellow
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,mechano,NA,63,63,2,yellow
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,mechano,NA,126,126,3,yellow
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,mechano,NA,86,86,4,yellow
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,mechano,NA,89,89,5,yellow
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,mechano,NA,87,87,6,yellow
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,mechano,NA,97,97,7,yellow
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,mechano,NA,57,57,8,yellow
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,mechano,NA,60,60,9,yellow
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,mechano,NA,60,60,10,yellow
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,mechano,NA,55,55,11,yellow
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,mechano,NA,59,59,12,yellow
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,mechano,NA,58,58,13,yellow
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,mechano,NA,104,104,14,yellow
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,mechano,NA,91,91,15,yellow
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,mechano,NA,91,91,16,yellow
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,112.072,58.787,1,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,123.511,55.747,2,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,112.651,74.715,3,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,126.262,70.661,4,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,157.828,75.004,5,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,157.394,88.326,6,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,138.136,94.769,7,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,119.312,88.615,8,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,107.294,93.249,9,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,173.755,125.394,10,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,166.371,102.443,11,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,163.765,113.665,12,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,149.285,111.493,13,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,148.416,123.656,14,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,133.647,109.683,15,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,214.878,117.14,16,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,186.208,114.317,17,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,123.185,109.828,18,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,185.677,143.879,19,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,200.157,147.934,20,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,198.902,159.421,21,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,176.796,151.216,22,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,229.212,166.66,23,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,232.881,179.209,24,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,229.647,155.656,25,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,160.241,135.578,26,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,trichoid,58.932,46.914,27,pink
M_angustus_f1_xy.tif,NCC Ent 11,Microphotus angustus,F1,olfactory,basiconica,210.823,126.552,28,pink
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,63,159.132,1,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,61,151.271,2,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,57,131.345,3,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,56,124.107,4,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,63,140.915,5,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,67,126.195,6,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,55,133.744,7,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,63,152.084,8,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,67,170.844,9,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,87,115.215,10,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,106,110.227,11,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,68,92.335,12,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,78,89.841,13,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,55,93.853,14,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,75,100.278,15,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,80,123.7,16,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,89,146.96,17,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,88,135.005,18,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,59,188.302,19,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,62,183.531,20,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,59,251.955,21,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,63,225.008,22,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,60,113.751,23,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,63,163.687,24,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,102,146.066,25,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,65,126.222,26,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,65,162.657,27,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,67,187.326,28,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,74,172.253,29,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,63,223.328,30,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,75,277.33,31,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,73,259.519,32,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,100,269.848,33,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,122,261.606,34,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,58,94.992,35,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,113,187.543,36,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,78,59.207,37,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,126,68.316,38,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,97,67.177,39,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,65,114.239,40,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,67,142.325,41,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,mechano,NA,72,215.466,42,yellow
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,olfactory,trichoid,257.16,198.441,1,pink
M_angustus_f2_xy.tif,NCC Ent 11,Microphotus angustus,F2,olfactory,trichoid,269.522,183.802,2,pink
