Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,185.429,117.143,1,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,197.429,95.429,2,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,206,72.286,3,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,229.714,61.143,4,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,237.429,100.286,5,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,266.857,93.143,6,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,286.571,55.143,7,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,302.857,91.143,8,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,346.571,72.571,9,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,178.571,154.857,10,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,204,161.143,11,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,231.429,154.857,12,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,266.571,133.429,13,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,328.571,160.571,14,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,345.429,152,15,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,190.286,198,16,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,219.714,224.286,17,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,241.429,219.143,18,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,256.571,202.286,19,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,295.714,227.429,20,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,321.714,218.286,21,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,352.571,205.429,22,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,228.571,282.571,23,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,257.429,300,24,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,266,273.429,25,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,289.143,254.571,26,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,mechano,NA,368.286,255.429,27,yellow,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,180.857,92.857,1,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,209.143,95.429,2,pink,,,,,,,,,,,,,,,,,,
Phausis reticulata f1.tif,LACM Ent 574188,Phausis reticulata,F1,olfactory,trichoid,220.857,78.857,3,pink,,,,,,,,,,,,,,,,,,
