Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments
Photinus_consan_f1_xy.tif,NCC Ent 10,Photinus consanguineus,F1,mechano,NA,118.888,27.769,1,yellow
Photinus_consan_f1_xy.tif,NCC Ent 10,Photinus consanguineus,F1,mechano,NA,99.29,31.313,2,yellow
Photinus_consan_f1_xy.tif,NCC Ent 10,Photinus consanguineus,F1,mechano,NA,132.845,18.875,3,yellow
Photinus_consan_f1_xy.tif,NCC Ent 10,Photinus consanguineus,F1,mechano,NA,140.366,8.461,4,yellow
Photinus_consan_f1_xy.tif,NCC Ent 10,Photinus consanguineus,F1,mechano,NA,165.821,20.321,5,yellow
Photinus_consan_f1_xy.tif,NCC Ent 10,Photinus consanguineus,F1,mechano,NA,164.086,30.734,6,yellow
Photinus_consan_f1_xy.tif,NCC Ent 10,Photinus consanguineus,F1,mechano,NA,142.68,46.355,7,yellow
Photinus_consan_f1_xy.tif,NCC Ent 10,Photinus consanguineus,F1,mechano,NA,159.024,39.051,8,yellow
Photinus_consan_f1_xy.tif,NCC Ent 10,Photinus consanguineus,F1,mechano,NA,94.373,40.569,9,yellow
Photinus_consan_f1_xy.tif,NCC Ent 10,Photinus consanguineus,F1,mechano,NA,131.688,80.271,10,yellow
Photinus_consan_f1_xy.tif,NCC Ent 10,Photinus consanguineus,F1,mechano,NA,105.437,63.783,11,yellow
Photinus_consan_f1_xy.tif,NCC Ent 10,Photinus consanguineus,F1,mechano,NA,111.512,52.502,12,yellow
Photinus_consan_f1_xy.tif,NCC Ent 10,Photinus consanguineus,F1,mechano,NA,143.982,65.302,13,yellow
Photinus_consan_f1_xy.tif,NCC Ent 10,Photinus consanguineus,F1,mechano,NA,163.941,43.317,14,yellow
Photinus_consan_f1_xy.tif,NCC Ent 10,Photinus consanguineus,F1,mechano,NA,176.38,73.256,15,yellow
Photinus_consan_f1_xy.tif,NCC Ent 10,Photinus consanguineus,F1,mechano,NA,181.442,95.385,16,yellow
Photinus_consan_f1_xy.tif,NCC Ent 10,Photinus consanguineus,F1,mechano,NA,157.433,93.505,17,yellow
