Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments
Photinus_inductus_f1_xy.tif,NCC Ent 9,Photinus indictus,F1,mechano,NA,157.72,16.166,1,yellow
Photinus_inductus_f1_xy.tif,NCC Ent 9,Photinus indictus,F1,mechano,NA,150.57,24.491,2,yellow
Photinus_inductus_f1_xy.tif,NCC Ent 9,Photinus indictus,F1,mechano,NA,162.591,28.221,3,yellow
Photinus_inductus_f1_xy.tif,NCC Ent 9,Photinus indictus,F1,mechano,NA,175.579,33.61,4,yellow
Photinus_inductus_f1_xy.tif,NCC Ent 9,Photinus indictus,F1,mechano,NA,192.159,39.689,5,yellow
Photinus_inductus_f1_xy.tif,NCC Ent 9,Photinus indictus,F1,mechano,NA,197.548,46.045,6,yellow
Photinus_inductus_f1_xy.tif,NCC Ent 9,Photinus indictus,F1,mechano,NA,170.328,43.282,7,yellow
Photinus_inductus_f1_xy.tif,NCC Ent 9,Photinus indictus,F1,mechano,NA,169.361,51.295,8,yellow
Photinus_inductus_f1_xy.tif,NCC Ent 9,Photinus indictus,F1,mechano,NA,135.786,31.675,9,yellow
Photinus_inductus_f1_xy.tif,NCC Ent 9,Photinus indictus,F1,mechano,NA,137.306,38.584,10,yellow
Photinus_inductus_f1_xy.tif,NCC Ent 9,Photinus indictus,F1,mechano,NA,136.062,16.062,11,yellow
Photinus_inductus_f1_xy.tif,NCC Ent 9,Photinus indictus,F1,mechano,NA,116.58,17.72,12,yellow
Photinus_inductus_f1_xy.tif,NCC Ent 9,Photinus indictus,F1,mechano,NA,97.651,22.971,13,yellow
Photinus_inductus_f1_xy.tif,NCC Ent 9,Photinus indictus,F1,mechano,NA,102.487,34.301,14,yellow
Photinus_inductus_f1_xy.tif,NCC Ent 9,Photinus indictus,F1,mechano,NA,125.699,52.815,15,yellow
Photinus_inductus_f1_xy.tif,NCC Ent 9,Photinus indictus,F1,mechano,NA,140.207,65.389,16,yellow
