Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,165.342,152.623,1,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,185.692,139.905,2,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,203.498,152.623,3,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,220.35,170.111,4,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,210.493,177.424,5,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,201.908,137.679,6,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,209.539,125.278,7,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,255.326,158.665,8,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,221.304,143.402,9,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,239.746,175.199,10,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,271.542,156.121,11,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,251.51,142.13,12,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,241.017,122.099,13,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,227.981,112.56,14,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,228.299,102.067,15,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,316.057,184.102,16,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,302.703,186.01,17,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,288.394,220.032,18,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,281.717,196.82,19,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,269.952,207.631,20,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,271.542,201.272,21,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,247.377,189.189,22,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,244.833,199.046,23,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,264.229,218.442,24,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,350.079,256.28,25,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,334.499,262.639,26,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,336.725,253.418,27,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,314.785,244.197,28,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,292.528,239.11,29,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,269.634,226.391,30,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,295.072,155.485,31,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,275.994,181.558,32,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,295.072,197.774,33,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,318.601,211.765,34,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,305.246,196.502,35,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,331.638,222.576,36,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,350.397,235.294,37,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,223.529,187.281,38,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,198.092,163.752,39,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,173.609,144.356,40,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,197.456,124.96,41,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,215.898,122.099,42,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,232.75,136.089,43,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,247.695,105.564,44,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,271.224,143.402,45,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,282.035,137.361,46,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,315.739,166.932,47,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,294.118,138.315,48,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,259.777,231.161,49,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,288.076,242.289,50,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,318.919,262.639,51,yellow
p macdermotti f1-xy.tif,BPC 1,Photinus macdermotti,F1,mechano,NA,226.391,202.862,52,yellow
