Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,341.553,94.521,1,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,321.461,96.347,2,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,318.95,109.132,3,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,327.169,111.644,4,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,349.087,104.338,5,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,363.014,95.662,6,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,382.192,100,7,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,371.69,114.384,8,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,383.79,131.05,9,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,399.087,141.781,10,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,391.324,156.393,11,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,373.973,159.132,12,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,324.886,147.489,13,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,357.306,126.027,14,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,310.959,145.205,15,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,334.703,168.037,16,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,309.589,176.256,17,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,300.457,172.603,18,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,389.954,177.169,19,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,348.402,201.826,20,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,310.046,208.219,21,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,330.594,216.667,22,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,296.575,220.548,23,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,373.744,209.817,24,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,394.749,222.831,25,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,398.858,208.676,26,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,398.174,177.626,27,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,347.26,232.877,28,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,357.306,261.872,29,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,337.9,241.096,30,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,327.169,261.416,31,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,317.123,269.635,32,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,304.338,268.037,33,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,289.726,269.178,34,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,333.105,284.932,35,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,374.429,282.42,36,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,397.26,263.014,37,yellow
Photinus marginellus F1-xy.tif,LACM Ent 574183,Photinus marginellus,F1,mechano,NA,387.9,245.89,38,yellow
