Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments,,,,,,,,,,,,,,,,,,
NA,LACM Ent 574182,Photinus pyralis,F1,NA,NA,NA,NA,NA,sensilla all damaged at base,,,,,,,,,,,,,,,,,,
NA,LACM Ent 574182,Photinus pyralis,F2,NA,NA,NA,NA,NA,sensilla all damaged at base,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,444.833,197.5,1,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,465.167,204.833,2,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,498.5,189.167,3,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,524.5,197.5,4,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,506.833,217.833,5,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,536.5,224.833,6,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,560.5,205.833,7,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,447.833,237.167,8,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,478.833,227.833,9,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,510.5,236.167,10,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,569.167,242.167,11,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,504.5,270.833,12,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,532.167,262.5,13,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,557.167,271.833,14,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,514.5,297.833,15,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,538.833,319.5,16,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,524.833,322.5,17,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,396.833,288.833,18,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,405.5,306.833,19,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,425.167,326.5,20,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,450.5,325.5,21,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,474.5,287.167,22,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,456.833,280.833,23,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,418.5,264.5,24,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,433.5,250.833,25,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,464.167,325.833,26,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,482.167,324.833,27,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,396.5,333.167,28,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,461.5,356.833,29,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,487.5,345.5,30,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,497.167,375.833,31,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,414.833,395.833,32,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,442.167,368.5,33,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,470.5,385.833,34,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,mechano,NA,495.833,401.833,35,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,469.5,173.167,1,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,485.5,178.5,2,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,512.167,189.5,3,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,574.5,216.167,4,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,526.5,215.5,5,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,450.833,206.167,6,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,489.167,236.167,7,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,518.833,253.5,8,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,551.5,231.833,9,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,546.833,259.167,10,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,579.167,257.5,11,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,430.833,230.167,12,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,463.5,251.167,13,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,476.167,268.833,14,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,463.167,227.833,15,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,498.167,255.833,16,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,403.5,267.5,17,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,407.5,286.833,18,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,418.833,298.167,19,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,475.167,308.5,20,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,502.5,297.167,21,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,495.167,324.167,22,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,510.833,331.5,23,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,535.833,353.5,24,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,442.167,316.167,25,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,392.5,312.5,26,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,474.167,356.833,27,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,500.833,358.167,28,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,450.833,353.167,29,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,404.167,338.5,30,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,483.833,384.833,31,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,385.833,349.5,32,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,426.833,374.833,33,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F3.tif,LACM Ent 574182,Photinus pyralis,F3,olfactory,trichoid,516.167,403.833,34,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,mechano,NA,480.5,411.833,1,green image somewhat unclear,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,mechano,NA,500.833,422.833,2,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,mechano,NA,516.833,401.833,3,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,mechano,NA,478.5,440.167,4,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,mechano,NA,520.833,451.5,5,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,mechano,NA,542.833,430.5,6,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,mechano,NA,556.833,450.167,7,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,mechano,NA,549.167,482.167,8,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,mechano,NA,487.833,458.833,9,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,mechano,NA,463.167,482.833,10,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,mechano,NA,473.833,489.167,11,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,mechano,NA,489.5,489.167,12,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,mechano,NA,495.5,507.167,13,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,mechano,NA,522.5,506.167,14,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,mechano,NA,517.5,485.833,15,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,mechano,NA,540.167,500.167,16,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,olfactory,NA,485.833,433.167,1,orange image somewhat unclear,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,olfactory,NA,501.833,446.833,2,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,olfactory,NA,539.5,451.167,3,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,olfactory,NA,497.833,464.833,4,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,olfactory,NA,468.5,454.5,5,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,olfactory,NA,466.5,470.833,6,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,olfactory,trichoid,535.167,481.167,7,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,olfactory,trichoid,552.5,418.833,8,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,olfactory,trichoid,529.5,412.5,9,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,olfactory,trichoid,501.5,412.167,10,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,olfactory,NA,439.167,480.5,11,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F4.tif,LACM Ent 574182,Photinus pyralis,F4,olfactory,NA,506.5,504.5,12,orange,,,,,,,,,,,,,,,,,,
Photinus pyralis F5.tif,LACM Ent 574182,Photinus pyralis,F5,mechano,NA,504.167,410.5,1,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F5.tif,LACM Ent 574182,Photinus pyralis,F5,mechano,NA,542.5,441.833,2,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F5.tif,LACM Ent 574182,Photinus pyralis,F5,mechano,NA,518.5,437.5,3,green,,,,,,,,,,,,,,,,,,
Photinus pyralis F5.tif,LACM Ent 574182,Photinus pyralis,F5,mechano,NA,489.167,455.167,4,green,,,,,,,,,,,,,,,,,,
