Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,276.008,216.708,1,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,280.829,256.08,2,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,269.579,242.421,3,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,262.669,222.011,4,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,291.435,266.526,5,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,272.472,274.883,6,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,262.83,278.418,7,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,241.296,277.775,8,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,259.134,311.523,9,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,275.204,293.203,10,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,283.078,238.082,11,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,268.454,196.942,12,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,255.116,203.209,13,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,248.206,208.191,14,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,271.026,180.229,15,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,257.205,166.569,16,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,263.633,155.802,17,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,246.92,152.105,18,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,281.954,157.891,19,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,239.046,262.026,20,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,235.832,317.79,21,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,233.903,193.728,22,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,291.274,150.177,23,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,250.616,107.269,24,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,271.026,123.822,25,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,256.723,128.482,26,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,249.17,125.911,27,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,223.618,117.394,28,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,236.796,87.985,29,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,258.33,79.146,30,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,272.633,96.341,31,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,248.527,69.504,32,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,243.224,80.432,33,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,250.938,45.399,34,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,226.832,52.309,35,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,206.423,23.061,36,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,248.527,271.186,37,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,295.051,232.618,38,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,296.738,175.488,39,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,224.583,199.513,40,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,222.011,159.176,41,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,275.365,36.078,42,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,269.258,16.793,43,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,207.869,50.541,44,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,303.006,276.49,45,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,302.684,209.316,46,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,280.347,7.955,47,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,mechano,NA,280.347,7.955,48,yellow
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,olfactory,trichoid,239.849,45.077,1,pink
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,olfactory,trichoid,262.75,103.171,2,pink
Photinus_pyralis2_f1_xy.tif,NCC Ent 8,Photinus pyralis,F1,olfactory,trichoid,268.535,133.544,3,pink
