Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,42.273,39.773,1,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,38.22,46.023,2,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,3.371,59.659,3,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,19.735,62.083,4,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,14.432,78.598,5,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,10.492,99.28,6,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,21.553,119.735,7,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,44.886,122.765,8,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,33.826,113.523,9,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,28.22,99.735,10,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,32.614,88.977,11,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,36.402,65.265,12,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,61.402,55.72,13,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,59.129,40.417,14,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,70.492,44.508,15,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,93.674,52.841,16,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,44.432,76.174,17,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,70.341,69.659,18,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,55.038,87.386,19,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,81.098,84.659,20,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,79.735,95.568,21,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,61.705,114.735,22,yellow
photinus scintillans f1_xy.tif,NCC Ent 4,Photinus scintillans,F1,mechano,NA,77.311,128.523,23,yellow
