Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments
Photuris flavicollis f1_xy.tif,NCC Ent 6,Photuris flavicollis,F1,mechano,NA,104.583,257.917,1,yellow
Photuris flavicollis f1_xy.tif,NCC Ent 6,Photuris flavicollis,F1,mechano,NA,144.792,252.014,2,yellow
Photuris flavicollis f1_xy.tif,NCC Ent 6,Photuris flavicollis,F1,mechano,NA,126.458,225.903,3,yellow
Photuris flavicollis f1_xy.tif,NCC Ent 6,Photuris flavicollis,F1,mechano,NA,162.014,242.292,4,yellow
Photuris flavicollis f1_xy.tif,NCC Ent 6,Photuris flavicollis,F1,mechano,NA,179.236,256.181,5,yellow
Photuris flavicollis f1_xy.tif,NCC Ent 6,Photuris flavicollis,F1,mechano,NA,210.903,217.847,6,yellow
Photuris flavicollis f1_xy.tif,NCC Ent 6,Photuris flavicollis,F1,mechano,NA,177.569,235.903,7,yellow
Photuris flavicollis f1_xy.tif,NCC Ent 6,Photuris flavicollis,F1,mechano,NA,146.736,212.569,8,yellow
Photuris flavicollis f1_xy.tif,NCC Ent 6,Photuris flavicollis,F1,mechano,NA,128.681,257.014,9,yellow
Photuris flavicollis f1_xy.tif,NCC Ent 6,Photuris flavicollis,F1,mechano,NA,167.292,202.014,10,yellow
Photuris flavicollis f1_xy.tif,NCC Ent 6,Photuris flavicollis,F1,mechano,NA,183.681,195.347,11,yellow
Photuris flavicollis f1_xy.tif,NCC Ent 6,Photuris flavicollis,F1,mechano,NA,190.903,209.514,12,yellow
Photuris flavicollis f1_xy.tif,NCC Ent 6,Photuris flavicollis,F1,mechano,NA,123.681,207.847,13,yellow
Photuris flavicollis f1_xy.tif,NCC Ent 6,Photuris flavicollis,F1,mechano,NA,139.792,192.292,14,yellow
Photuris flavicollis f1_xy.tif,NCC Ent 6,Photuris flavicollis,F1,mechano,NA,156.181,179.514,15,yellow
Photuris flavicollis f1_xy.tif,NCC Ent 6,Photuris flavicollis,F1,mechano,NA,150.625,170.903,16,yellow
Photuris flavicollis f1_xy.tif,NCC Ent 6,Photuris flavicollis,F1,mechano,NA,155.625,157.014,17,yellow
Photuris flavicollis f1_xy.tif,NCC Ent 6,Photuris flavicollis,F1,mechano,NA,173.681,152.014,18,yellow
Photuris flavicollis f1_xy.tif,NCC Ent 6,Photuris flavicollis,F1,mechano,NA,180.347,164.514,19,yellow
Photuris flavicollis f1_xy.tif,NCC Ent 6,Photuris flavicollis,F1,mechano,NA,195.903,158.958,20,yellow
Photuris flavicollis f1_xy.tif,NCC Ent 6,Photuris flavicollis,F1,mechano,NA,212.014,192.569,21,yellow
