Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments
Photuris sp2 f1_xy.tif,NCC Ent 5,Photuris sp,F1,mechano,NA,35.481,58.702,1,yellow
Photuris sp2 f1_xy.tif,NCC Ent 5,Photuris sp,F1,mechano,NA,21.635,64.615,2,yellow
Photuris sp2 f1_xy.tif,NCC Ent 5,Photuris sp,F1,mechano,NA,88.702,53.654,3,yellow
Photuris sp2 f1_xy.tif,NCC Ent 5,Photuris sp,F1,mechano,NA,58.269,67.5,4,yellow
Photuris sp2 f1_xy.tif,NCC Ent 5,Photuris sp,F1,mechano,NA,24.808,81.058,5,yellow
Photuris sp2 f1_xy.tif,NCC Ent 5,Photuris sp,F1,mechano,NA,93.606,78.029,6,yellow
Photuris sp2 f1_xy.tif,NCC Ent 5,Photuris sp,F1,mechano,NA,23.942,102.981,7,yellow
Photuris sp2 f1_xy.tif,NCC Ent 5,Photuris sp,F1,mechano,NA,45.721,99.519,8,yellow
Photuris sp2 f1_xy.tif,NCC Ent 5,Photuris sp,F1,mechano,NA,18.029,118.846,9,yellow
Photuris sp2 f1_xy.tif,NCC Ent 5,Photuris sp,F1,mechano,NA,56.106,121.01,10,yellow
Photuris sp2 f1_xy.tif,NCC Ent 5,Photuris sp,F1,mechano,NA,34.76,130.096,11,yellow
Photuris sp2 f1_xy.tif,NCC Ent 5,Photuris sp,F1,mechano,NA,79.904,142.356,12,yellow
Photuris sp2 f1_xy.tif,NCC Ent 5,Photuris sp,F1,mechano,NA,99.952,138.894,13,yellow
Photuris sp2 f1_xy.tif,NCC Ent 5,Photuris sp,F1,mechano,NA,95.048,125.192,14,yellow
Photuris sp2 f1_xy.tif,NCC Ent 5,Photuris sp,F1,mechano,NA,151.154,50.913,15,yellow
Photuris sp2 f1_xy.tif,NCC Ent 5,Photuris sp,F1,mechano,NA,170.913,54.663,16,yellow
Photuris sp2 f1_xy.tif,NCC Ent 5,Photuris sp,F1,mechano,NA,140.769,63.462,17,yellow
Photuris sp2 f1_xy.tif,NCC Ent 5,Photuris sp,F1,mechano,NA,141.49,78.894,18,yellow
Photuris sp2 f1_xy.tif,NCC Ent 5,Photuris sp,F1,mechano,NA,108.462,95.625,19,yellow
Photuris sp2 f1_xy.tif,NCC Ent 5,Photuris sp,F1,mechano,NA,155.048,97.067,20,yellow
Photuris sp2 f1_xy.tif,NCC Ent 5,Photuris sp,F1,mechano,NA,147.115,114.375,21,yellow
