Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments,,,,,,,,,,,,,,,,,,
Pyractomena angulata F1.tif,LACM Ent 574187,Pyractomena angulata,F1,mechano,NA,399,270,1,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F1.tif,LACM Ent 574187,Pyractomena angulata,F1,mechano,NA,427,236.5,2,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F1.tif,LACM Ent 574187,Pyractomena angulata,F1,mechano,NA,468,255,3,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F1.tif,LACM Ent 574187,Pyractomena angulata,F1,mechano,NA,420,313,4,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F1.tif,LACM Ent 574187,Pyractomena angulata,F1,mechano,NA,461,316.5,5,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F1.tif,LACM Ent 574187,Pyractomena angulata,F1,mechano,NA,503.5,329.5,6,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F1.tif,LACM Ent 574187,Pyractomena angulata,F1,mechano,NA,548,329,7,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F1.tif,LACM Ent 574187,Pyractomena angulata,F1,mechano,NA,417,370.5,8,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F1.tif,LACM Ent 574187,Pyractomena angulata,F1,mechano,NA,384,425,9,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F1.tif,LACM Ent 574187,Pyractomena angulata,F1,mechano,NA,408,442.5,10,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F1.tif,LACM Ent 574187,Pyractomena angulata,F1,mechano,NA,447.5,422,11,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F1.tif,LACM Ent 574187,Pyractomena angulata,F1,mechano,NA,491,400.5,12,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F1.tif,LACM Ent 574187,Pyractomena angulata,F1,mechano,NA,485,453.5,13,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F1.tif,LACM Ent 574187,Pyractomena angulata,F1,mechano,NA,427.5,495,14,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F1.tif,LACM Ent 574187,Pyractomena angulata,F1,mechano,NA,481.5,501,15,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F1.tif,LACM Ent 574187,Pyractomena angulata,F1,mechano,NA,516.5,469,16,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F1.tif,LACM Ent 574187,Pyractomena angulata,F1,mechano,NA,546.5,481,17,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F2.tif,LACM Ent 574187,Pyractomena angulata,F2,mechano,NA,418,195.5,1,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F2.tif,LACM Ent 574187,Pyractomena angulata,F2,mechano,NA,449,186,2,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F2.tif,LACM Ent 574187,Pyractomena angulata,F2,mechano,NA,476.5,197.5,3,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F2.tif,LACM Ent 574187,Pyractomena angulata,F2,mechano,NA,513.5,226,4,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F2.tif,LACM Ent 574187,Pyractomena angulata,F2,mechano,NA,570,217,5,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F2.tif,LACM Ent 574187,Pyractomena angulata,F2,mechano,NA,609,215.5,6,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F2.tif,LACM Ent 574187,Pyractomena angulata,F2,mechano,NA,632,223,7,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F2.tif,LACM Ent 574187,Pyractomena angulata,F2,mechano,NA,433.5,229.5,8,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F2.tif,LACM Ent 574187,Pyractomena angulata,F2,mechano,NA,453,246.5,9,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F2.tif,LACM Ent 574187,Pyractomena angulata,F2,mechano,NA,490.5,233.5,10,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F2.tif,LACM Ent 574187,Pyractomena angulata,F2,mechano,NA,592.5,266.5,11,yellow,,,,,,,,,,,,,,,,,,
Pyractomena angulata F2.tif,LACM Ent 574187,Pyractomena angulata,F2,mechano,NA,614.5,275,12,yellow,,,,,,,,,,,,,,,,,,
