Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,477.5,160,1,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,513.5,148.5,2,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,537.5,183,3,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,567.5,177,4,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,601,195,5,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,614.5,213,6,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,458,191.5,7,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,497.5,180.5,8,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,517,202,9,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,575.5,207.5,10,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,476,214,11,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,453,277.5,12,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,485,251.5,13,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,515,246,14,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,542,227,15,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,579.5,244.5,16,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,616,245,17,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,568.5,286,18,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,590,280.5,19,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,605,288,20,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,542,283.5,21,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,555.5,254,22,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,477,305,23,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,509.5,290.5,24,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,499.5,330,25,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,519,345,26,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,557,322.5,27,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,583,322.5,28,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,431,326.5,29,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F1.tif,LACM Ent 574186,Pyractomena borealis,F1,mechano,NA,540.5,375.5,30,green,,,,,,,,,,,,,,,,,,
NA,LACM Ent 574186,Pyractomena borealis,F1,olfactory,NA,NA,NA,NA,none present,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,441.5,281.5,1,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,417.833,332.5,2,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,407.5,364.833,3,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,392.167,426.5,4,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,471.833,248.167,5,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,478.833,283.5,6,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,473.5,323.833,7,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,433.167,357.167,8,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,420.833,403.5,9,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,406.167,456.5,10,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,432.833,464.833,11,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,445.5,419.833,12,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,450.167,379.167,13,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,492.167,321.167,14,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,509.167,263.167,15,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,478.5,369.5,16,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,473.833,440.167,17,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,500.167,407.833,18,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,506.167,439.167,19,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,517.833,349.833,20,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,520.167,306.5,21,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,536.167,265.833,22,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,562.167,246.167,23,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,570.833,276.833,24,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,mechano,NA,479.833,472.833,25,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,508.167,146.167,1,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,490.5,170.167,2,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,489.167,196.833,3,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,523.5,172.5,4,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,573.833,189.5,5,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,643.5,216.167,6,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,457.167,229.5,7,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,512.833,219.5,8,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,528.167,245.167,9,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,575.167,232.5,10,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,603.167,231.5,11,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,623.5,236.167,12,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,633.167,252.167,13,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,480.5,250.5,14,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,453.833,282.167,15,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,497.5,286.167,16,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,550.5,267.167,17,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,592.833,276.5,18,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,617.167,329.5,19,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,593.5,318.5,20,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,565.833,326.5,21,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,561.5,299.167,22,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,531.167,323.833,23,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,507.167,328.167,24,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,461.833,322.5,25,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,516.167,366.5,26,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,498.833,398.5,27,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,551.833,384.167,28,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,584.5,394.5,29,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,513.167,131.5,30,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,548.833,116.833,31,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,583.833,129.5,32,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,618.167,137.5,33,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,623.833,166.5,34,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,653.167,167.167,35,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,673.5,207.167,36,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,682.833,157.167,37,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F3.tif,LACM Ent 574186,Pyractomena borealis,F3,mechano,NA,468.167,164.167,38,green,,,,,,,,,,,,,,,,,,
Pyractomena borealis F2.tif,LACM Ent 574186,Pyractomena borealis,F2,olfactory,trichoid,453.833,320.167,1,orange,,,,,,,,,,,,,,,,,,
