Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments
Pyractomena lucifera F1L-1.tif,LACM Ent 574185,Pyractomena lucifera,F1,mechano,NA,97.159,10.203,1,1 (yellow)
Pyractomena lucifera F1L-1.tif,LACM Ent 574185,Pyractomena lucifera,F1,mechano,NA,73.971,34.087,2,2 (yellow)
Pyractomena lucifera F1L-1.tif,LACM Ent 574185,Pyractomena lucifera,F1,mechano,NA,63.536,5.333,3,3 (yellow)
Pyractomena lucifera F1L-1.tif,LACM Ent 574185,Pyractomena lucifera,F1,mechano,NA,64.696,61.913,4,4 (yellow)
Pyractomena lucifera F1L-1.tif,LACM Ent 574185,Pyractomena lucifera,F1,mechano,NA,54.261,62.145,5,5 (yellow)
Pyractomena lucifera F1L-1.tif,LACM Ent 574185,Pyractomena lucifera,F1,mechano,NA,93.681,44.985,6,6 (yellow)
Pyractomena lucifera F1L-1.tif,LACM Ent 574185,Pyractomena lucifera,F1,mechano,NA,112.696,51.014,7,7 (yellow)
Pyractomena lucifera F1L-1.tif,LACM Ent 574185,Pyractomena lucifera,F1,mechano,NA,128.927,36.638,8,8 (yellow)
Pyractomena lucifera F1L-1.tif,LACM Ent 574185,Pyractomena lucifera,F1,mechano,NA,138.667,15.768,9,9 (yellow)
Pyractomena lucifera F1L-1.tif,LACM Ent 574185,Pyractomena lucifera,F1,mechano,NA,116.638,87.652,10,10 (yellow)
Pyractomena lucifera F1L-1.tif,LACM Ent 574185,Pyractomena lucifera,F1,mechano,NA,87.652,110.84,11,11 (yellow)
Pyractomena lucifera F1L-1.tif,LACM Ent 574185,Pyractomena lucifera,F1,mechano,NA,70.261,112.464,12,12 (yellow)
Pyractomena lucifera F1L-1.tif,LACM Ent 574185,Pyractomena lucifera,F1,mechano,NA,145.159,51.942,13,13 (yellow)
Pyractomena lucifera F1L-1.tif,LACM Ent 574185,Pyractomena lucifera,F1,mechano,NA,148.406,73.275,14,14 (yellow)
