Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments,,,,,,,,,,,,,,,,,,
Pyropyga nigricans F1_xy.tif,LACM Ent 574184,Pyropyga nigricans,F1,mechano,NA,460.858,166.45,1,1 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F1_xy.tif,LACM Ent 574184,Pyropyga nigricans,F1,mechano,NA,481.664,179.974,2,2 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F1_xy.tif,LACM Ent 574184,Pyropyga nigricans,F1,mechano,NA,510.793,142.523,3,3 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F1_xy.tif,LACM Ent 574184,Pyropyga nigricans,F1,mechano,NA,542.003,158.127,4,4 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F1_xy.tif,LACM Ent 574184,Pyropyga nigricans,F1,mechano,NA,570.091,141.482,5,5 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F1_xy.tif,LACM Ent 574184,Pyropyga nigricans,F1,mechano,NA,580.494,168.531,6,6 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F1_xy.tif,LACM Ent 574184,Pyropyga nigricans,F1,mechano,NA,598.179,153.446,7,7 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F1_xy.tif,LACM Ent 574184,Pyropyga nigricans,F1,mechano,NA,602.341,221.586,8,8 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F1_xy.tif,LACM Ent 574184,Pyropyga nigricans,F1,mechano,NA,588.296,227.828,9,9 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F1_xy.tif,LACM Ent 574184,Pyropyga nigricans,F1,mechano,NA,562.809,225.748,10,10 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F1_xy.tif,LACM Ent 574184,Pyropyga nigricans,F1,mechano,NA,553.966,178.934,11,11 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F1_xy.tif,LACM Ent 574184,Pyropyga nigricans,F1,mechano,NA,530.039,234.07,12,12 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F1_xy.tif,LACM Ent 574184,Pyropyga nigricans,F1,mechano,NA,507.672,273.082,13,13 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F1_xy.tif,LACM Ent 574184,Pyropyga nigricans,F1,mechano,NA,552.406,285.046,14,14 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F1_xy.tif,LACM Ent 574184,Pyropyga nigricans,F1,mechano,NA,580.494,280.884,15,15 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F1_xy.tif,LACM Ent 574184,Pyropyga nigricans,F1,mechano,NA,604.421,282.965,16,16 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F1_xy.tif,LACM Ent 574184,Pyropyga nigricans,F1,mechano,NA,526.918,315.735,17,17 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F1_xy.tif,LACM Ent 574184,Pyropyga nigricans,F1,mechano,NA,551.886,360.988,18,18 (yellow),,,,,,,,,,,,,,,,,,
Pyropyga nigricans F1_xy.tif,LACM Ent 574184,Pyropyga nigricans,F1,mechano,NA,581.534,345.384,19,19 (yellow),,,,,,,,,,,,,,,,,,
