Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments
Vesta_basalis_f1_xy.tif,NCC Ent 17,Vesta basalis,F1,mechano,NA,281.543,69.823,1,yellow 
Vesta_basalis_f1_xy.tif,NCC Ent 17,Vesta basalis,F1,mechano,NA,265.589,69.635,2,yellow 
Vesta_basalis_f1_xy.tif,NCC Ent 17,Vesta basalis,F1,mechano,NA,225.047,65.881,3,yellow 
Vesta_basalis_f1_xy.tif,NCC Ent 17,Vesta basalis,F1,mechano,NA,211.533,70.761,4,yellow 
Vesta_basalis_f1_xy.tif,NCC Ent 17,Vesta basalis,F1,mechano,NA,193.889,72.263,5,yellow 
Vesta_basalis_f1_xy.tif,NCC Ent 17,Vesta basalis,F1,mechano,NA,147.716,61.376,6,yellow 
Vesta_basalis_f1_xy.tif,NCC Ent 17,Vesta basalis,F1,mechano,NA,143.587,71.887,7,yellow 
Vesta_basalis_f1_xy.tif,NCC Ent 17,Vesta basalis,F1,mechano,NA,288.113,128.196,8,yellow 
Vesta_basalis_f1_xy.tif,NCC Ent 17,Vesta basalis,F1,mechano,NA,262.211,131.575,9,yellow 
Vesta_basalis_f1_xy.tif,NCC Ent 17,Vesta basalis,F1,mechano,NA,233.306,139.458,10,yellow 
Vesta_basalis_f1_xy.tif,NCC Ent 17,Vesta basalis,F1,mechano,NA,216.788,143.212,11,yellow 
Vesta_basalis_f1_xy.tif,NCC Ent 17,Vesta basalis,F1,mechano,NA,301.627,130.824,12,yellow 
Vesta_basalis_f1_xy.tif,NCC Ent 17,Vesta basalis,F1,mechano,NA,262.961,148.092,13,yellow 
Vesta_basalis_f1_xy.tif,NCC Ent 17,Vesta basalis,F1,mechano,NA,218.29,165.36,14,yellow 
Vesta_basalis_f1_xy.tif,NCC Ent 17,Vesta basalis,F1,mechano,NA,244.567,165.735,15,yellow 
Vesta_basalis_f1_xy.tif,NCC Ent 17,Vesta basalis,F1,mechano,NA,172.868,177.748,16,yellow 
Vesta_basalis_f1_xy.tif,NCC Ent 17,Vesta basalis,F1,mechano,NA,105.673,201.773,17,yellow 
Vesta_basalis_f1_xy.tif,NCC Ent 17,Vesta basalis,F1,mechano,NA,61.376,221.668,18,yellow 
Vesta_basalis_f1_xy.tif,NCC Ent 17,Vesta basalis,F1,mechano,NA,319.27,136.455,19,yellow 
