Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,78,72.316,1,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,145.632,139.211,2,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,127.737,128.263,3,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,82.263,117.316,4,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,102.474,115.421,5,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,194.895,95.421,6,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,158.053,142.789,7,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,169.842,127.211,8,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,150.895,109.105,9,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,163.316,87.421,10,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,165,64.053,11,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,220.579,56.684,12,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,201.632,67.737,13,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,195.316,29.211,14,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,237.158,80.368,15,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,236.211,56.368,16,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,216.947,89.526,17,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,227.684,109.579,18,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,195.789,119.526,19,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,104.368,176.579,20,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,91.737,164.579,21,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,170.263,157.421,22,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,169.421,183.526,23,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,151,205.947,24,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,81.737,200.053,25,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,207.211,181.947,26,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,172.684,207.632,27,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,198.579,166.368,28,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,189.737,162.158,29,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,192.474,189.105,30,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,220.895,167.211,31,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,73.526,23.211,32,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,mechano,NA,249.632,5.526,33,yellow
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,125.053,67.263,1,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,85.316,48.263,2,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,88.474,71.421,3,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,98.368,70.789,4,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,81.737,85.737,5,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,104.053,97.105,6,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,151.632,84.053,7,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,151.632,68.263,8,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,171.842,39,9,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,177.947,57.316,10,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,194.158,74.158,11,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,209.316,79,12,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,209.105,96.474,13,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,183.421,106.789,14,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,159.421,119.421,15,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,138.158,113.105,16,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,116.053,118.579,17,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,103.842,131,18,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,114.579,141.947,19,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,93.316,124.474,20,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,84.474,136.053,21,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,84.895,150.158,22,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,133.947,140.053,23,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,132.895,153.737,24,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,167.211,97.526,25,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,196.474,130.368,26,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,186.789,141.526,27,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,208.895,120.053,28,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,207.211,139.632,29,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,76.684,26.579,30,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,89.526,185.526,31,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,97.316,193.316,32,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,104.053,205.105,33,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,92.263,210.368,34,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,112.684,173.947,35,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,134.368,188.053,36,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,134.789,206.579,37,pink
Vesta_sp_f1_xy1.tif,NCC Ent 16,Vesta sp,F1,olfactory,basiconica,153.632,180.316,38,pink
