Aspisoma sp (NCC Ent 14),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_antennae.tif,antenna length,NA,NA,NA,2869.929,,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_antennae.tif,segment length,F1,NA,NA,270.047,,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_L.tif,sensillum length,F1,mechano,NA,44.975,yellow 1,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_L.tif,sensillum length,F1,mechano,NA,63.632,yellow 2,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_L.tif,sensillum length,F1,mechano,NA,45.088,yellow 3,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_L.tif,sensillum length,F1,mechano,NA,60.631,yellow 4,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_L.tif,sensillum length,F1,mechano,NA,46.852,yellow 5,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_L.tif,sensillum length,F1,olfactory,trichoid,10.271,pink 1,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_L.tif,sensillum length,F1,olfactory,trichoid,10.771,pink 2,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_L.tif,sensillum length,F1,olfactory,trichoid,9.924,pink 3,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_L.tif,sensillum length,F1,olfactory,trichoid,8.919,pink 4,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_L.tif,sensillum length,F1,olfactory,trichoid,11.063,pink 5,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_W.tif,sensillum width prox,F1,mechano,NA,3.533,yellow 1A,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_W.tif,sensillum width med,F1,mechano,NA,2.406,yellow 1B,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_W.tif,sensillum width dis,F1,mechano,NA,0.842,yellow 1C,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_W.tif,sensillum width prox,F1,mechano,NA,4.17,yellow 2A,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_W.tif,sensillum width med,F1,mechano,NA,3.075,yellow 2B,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_W.tif,sensillum width dis,F1,mechano,NA,0.879,yellow 2C,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_W.tif,sensillum width prox,F1,mechano,NA,2.867,yellow 3A,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_W.tif,sensillum width med,F1,mechano,NA,2.01,yellow 3B,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_W.tif,sensillum width dis,F1,mechano,NA,0.754,yellow 3C,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_W.tif,sensillum width med,F1,olfactory,trichoid,1.564,pink 1B,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_W.tif,sensillum width med,F1,olfactory,trichoid,1.533,pink 2B,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f1_W.tif,sensillum width med,F1,olfactory,trichoid,1.732,pink 3B,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_antennae.tif,segment length,F2,NA,NA,175.07,,
NCC Ent 14,Aspisoma sp,Aspisoma_sp_F_f2_L.tif,sensillum length,F2,mechano,NA,47.688,yellow 1,
