Bicellonycha sp (LACM Ent 574190),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
LACM Ent 574190,Bicellonycha sp,NA,antenna length,NA,NA,NA,4832.355,,"No full image of antenna, using sum of segments"
LACM Ent 574190,Bicellonycha sp,B spp f1.tif,segment length,F1,NA,NA,465.919,,
LACM Ent 574190,Bicellonycha sp,B spp f1L-length.tif,sensillum length,F1,mechano,NA,82.244,1 (yellow),
LACM Ent 574190,Bicellonycha sp,B spp f1L-length.tif,sensillum length,F1,mechano,NA,100.323,2 (yellow),
LACM Ent 574190,Bicellonycha sp,B spp f1L-length.tif,sensillum length,F1,mechano,NA,129.442,3 (yellow),
LACM Ent 574190,Bicellonycha sp,B spp f1L-length.tif,sensillum length,F1,mechano,NA,95.043,4 (yellow),
LACM Ent 574190,Bicellonycha sp,B spp f1L-length.tif,sensillum length,F1,mechano,NA,116.989,5 (yellow),
LACM Ent 574190,Bicellonycha sp,B spp f1L-length.tif,sensillum length,F1,olfactory,trichoid,20.525,1 (pink),
LACM Ent 574190,Bicellonycha sp,B spp f1L-length.tif,sensillum length,F1,olfactory,trichoid,12.873,2 (pink),
LACM Ent 574190,Bicellonycha sp,B spp f1L-length.tif,sensillum length,F1,olfactory,trichoid,18.844,3 (pink),
LACM Ent 574190,Bicellonycha sp,B spp f1L-length.tif,sensillum length,F1,olfactory,trichoid,14.843,4 (pink),
LACM Ent 574190,Bicellonycha sp,B spp f1L-length.tif,sensillum length,F1,olfactory,trichoid,18.015,5 (pink),
LACM Ent 574190,Bicellonycha sp,B spp f1W-widths.tif,sensillum width prox,F1,mechano,NA,4.31,1A,
LACM Ent 574190,Bicellonycha sp,B spp f1W-widths.tif,sensillum width med,F1,mechano,NA,3.249,1B,
LACM Ent 574190,Bicellonycha sp,B spp f1W-widths.tif,sensillum width dis,F1,mechano,NA,1.18,1C,
LACM Ent 574190,Bicellonycha sp,B spp f1W-widths.tif,sensillum width prox,F1,mechano,NA,6.121,2A,
LACM Ent 574190,Bicellonycha sp,B spp f1W-widths.tif,sensillum width med,F1,mechano,NA,3.794,2B,
LACM Ent 574190,Bicellonycha sp,B spp f1W-widths.tif,sensillum width dis,F1,mechano,NA,1.321,2C,
LACM Ent 574190,Bicellonycha sp,B spp f1W-widths.tif,sensillum width prox,F1,mechano,NA,5.539,3A,"Note, correcting this value by remeasuring on labeled photo"
LACM Ent 574190,Bicellonycha sp,B spp f1W-widths.tif,sensillum width med,F1,mechano,NA,3.751,3B,"Note, correcting this value by remeasuring on labeled photo"
LACM Ent 574190,Bicellonycha sp,B spp f1W-widths.tif,sensillum width dis,F1,mechano,NA,1.409,3C,"Note, correcting this value by remeasuring on labeled photo"
LACM Ent 574190,Bicellonycha sp,B spp f1W-widths.tif,sensillum width med,F1,olfactory,trichoid,2.388,1D,
LACM Ent 574190,Bicellonycha sp,B spp f1W-widths.tif,sensillum width med,F1,olfactory,trichoid,1.868,2D,
LACM Ent 574190,Bicellonycha sp,B spp f1W-widths.tif,sensillum width med,F1,olfactory,trichoid,1.407,3D,
LACM Ent 574190,Bicellonycha sp,B spp 2.tif,segment length,F2,NA,NA,570.357,,
LACM Ent 574190,Bicellonycha sp,B spp 2L-length.tif,sensillum length,F2,mechano,NA,174.55,1 (yellow),
LACM Ent 574190,Bicellonycha sp,B spp 2L-length.tif,sensillum length,F2,mechano,NA,166.286,2 (yellow),
LACM Ent 574190,Bicellonycha sp,B spp 2L-length.tif,sensillum length,F2,mechano,NA,125.06,3 (yellow),
LACM Ent 574190,Bicellonycha sp,B spp 2L-length.tif,sensillum length,F2,mechano,NA,116.735,4 (yellow),
