Bicellonycha wickershamorum wickershamorum (LACM Ent 574189),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
LACM Ent 574189,Bicellonycha wickershamorum,B wick antannae.tif,antenna length,NA,NA,NA,3030.525,,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1.tif,segment length,F1,NA,NA,342.719,,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-lengths.tif,sensillum length,F1,mechano,NA,101.593,1 (yellow),
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-lengths.tif,sensillum length,F1,mechano,NA,89.948,2 (yellow),
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-lengths.tif,sensillum length,F1,mechano,NA,104.742,3 (yellow),
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-lengths.tif,sensillum length,F1,mechano,NA,71.474,4 (yellow),
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-lengths.tif,sensillum length,F1,mechano,NA,103.258,5 (yellow),
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-lengths.tif,sensillum length,F1,olfactory,trichoid,15.022,1 (pink),
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-lengths.tif,sensillum length,F1,olfactory,trichoid,14.12,2 (pink),
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-lengths.tif,sensillum length,F1,olfactory,trichoid,20.969,3 (pink),
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-lengths.tif,sensillum length,F1,olfactory,trichoid,15.216,4 (pink),
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-lengths.tif,sensillum length,F1,olfactory,trichoid,16.821,5 (pink),
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-widths.tif,sensillum width prox,F1,mechano,NA,3.344,1A,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-widths.tif,sensillum width med,F1,mechano,NA,1.759,1B,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-widths.tif,sensillum width dis,F1,mechano,NA,1.484,1C,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-widths.tif,sensillum width prox,F1,mechano,NA,4.949,2A,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-widths.tif,sensillum width med,F1,mechano,NA,2.765,2B,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-widths.tif,sensillum width dis,F1,mechano,NA,1.214,2C,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-widths.tif,sensillum width prox,F1,mechano,NA,3.593,3A,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-widths.tif,sensillum width med,F1,mechano,NA,2.644,3B,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-widths.tif,sensillum width dis,F1,mechano,NA,1.202,3C,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-widths2.tif,sensillum width med,F1,olfactory,trichoid,2.075,1D,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-widths2.tif,sensillum width med,F1,olfactory,trichoid,1.948,2D,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f1-widths2.tif,sensillum width med,F1,olfactory,trichoid,1.625,3D,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f2.tif,segment length,F2,NA,NA,372.034,,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f2-lengths.tif,sensillum length,F2,mechano,NA,108.775,1 (yellow),
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f2-lengths.tif,sensillum length,F2,mechano,NA,95.317,2 (yellow),
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f2-lengths.tif,sensillum length,F2,mechano,NA,100.456,3 (yellow),
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f2-lengths.tif,sensillum length,F2,mechano,NA,73.015,4 (yellow),
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f2-lengths.tif,sensillum length,F2,mechano,NA,83.711,5 (yellow),
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f2-lengths.tif,sensillum length,F2,olfactory,trichoid,20.485,1 (pink) ,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f2-lengths.tif,sensillum length,F2,olfactory,trichoid,12.959,2 (pink),
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f2-lengths.tif,sensillum length,F2,olfactory,trichoid,12.138,3 (pink),
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f2-lengths.tif,sensillum length,F2,olfactory,trichoid,13.083,4 (pink),
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f2-lengths.tif,sensillum length,F2,olfactory,trichoid,10.931,5 (pink),
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f2-widths.tif,sensillum width prox,F2,mechano,NA,3.481,1A,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f2-widths.tif,sensillum width med,F2,mechano,NA,2.268,1B,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f2-widths.tif,sensillum width dis,F2,mechano,NA,1.057,1C,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f2-widths.tif,sensillum width prox,F2,mechano,NA,5.023,2A,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f2-widths.tif,sensillum width med,F2,mechano,NA,2.744,2B,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f2-widths.tif,sensillum width dis,F2,mechano,NA,1.739,2C,
LACM Ent 574189,Bicellonycha wickershamorum,B wickershamorum f2-widths.tif,sensillum width prox,F2,mechano,NA,4.112,3A,
