Bicellonycha wickershamorum (NCC Ent 3),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
NCC Ent 3,Bicellonycha wickershamorum,Bicelloyncha_F_antennae.tif,antenna length,NA,NA,NA,3283.94,,
NCC Ent 3,Bicellonycha wickershamorum,Bicelloyncha_F_antennae.tif,segment length,F1,NA,NA,532.658,,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_L.tif,sensillum length,F1,mechano,NA,101.546,cyan 1,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_L.tif,sensillum length,F1,mechano,NA,87.608,cyan 2,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_L.tif,sensillum length,F1,mechano,NA,70.786,cyan 3,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_L.tif,sensillum length,F1,mechano,NA,79.994,cyan 4,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_L.tif,sensillum length,F1,mechano,NA,47.665,cyan 5,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_L.tif,sensillum length,F1,olfactory,trichoid,15.332,magenta 1,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_L.tif,sensillum length,F1,olfactory,trichoid,15.934,magenta 2,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_L.tif,sensillum length,F1,olfactory,trichoid,14.112,magenta 3,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_L.tif,sensillum length,F1,olfactory,trichoid,16.682,magenta 4,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_L.tif,sensillum length,F1,olfactory,trichoid,15.727,magenta 5,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_W.tif,sensillum width prox,F1,mechano,NA,4.94,cyan 1 A,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_W.tif,sensillum width med,F1,mechano,NA,2.579,cyan 1 B,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_W.tif,sensillum width dis,F1,mechano,NA,1.026,cyan 1 C,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_W.tif,sensillum width prox,F1,mechano,NA,3.955,cyan 2 A,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_W.tif,sensillum width med,F1,mechano,NA,2.085,cyan 2 B,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_W.tif,sensillum width dis,F1,mechano,NA,0.713,cyan 2 C,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_W.tif,sensillum width prox,F1,mechano,NA,5.194,cyan 3 A,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_W.tif,sensillum width med,F1,mechano,NA,2.825,cyan 3 B,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_W.tif,sensillum width dis,F1,mechano,NA,1.676,cyan 3 C,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_W.tif,sensillum width med,F1,olfactory,trichoid,1.54,magenta 1 B,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_W.tif,sensillum width med,F1,olfactory,trichoid,1.268,magenta 2 B,
NCC Ent 3,Bicellonycha wickershamorum,bicelloynchaF_f1_W.tif,sensillum width med,F1,olfactory,trichoid,1.77,magenta 3 B,
NCC Ent 3,Bicellonycha wickershamorum,Bicelloyncha_F_antennae.tif,segment length,F2,NA,NA,769.351,,
