Cratomorphus sp (NCC Ent 12),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
NCC Ent 12,Cratomorphus sp,"Cratomorphus_sp_antennae1.tif, Cratomorphus_sp_antennae2.tif",antenna length,NA,NA,NA,4878.088,4878.088,sum of two segment lengths
NCC Ent 12,Cratomorphus sp,Cratomorphus_sp_antennae1.tif,segment length,F1,NA,NA,601.246,,
NCC Ent 12,Cratomorphus sp,Cratomorphus_sp_f1_L.tif,sensillum length,F1,mechano,NA,48.207,cyan 1,
NCC Ent 12,Cratomorphus sp,Cratomorphus_sp_f1_L.tif,sensillum length,F1,mechano,NA,48.299,cyan 2 ,
NCC Ent 12,Cratomorphus sp,Cratomorphus_sp_f1_L.tif,sensillum length,F1,mechano,NA,52.756,cyan 3,
NCC Ent 12,Cratomorphus sp,Cratomorphus_sp_f1_L.tif,sensillum length,F1,mechano,NA,63.963,cyan 4,
NCC Ent 12,Cratomorphus sp,Cratomorphus_sp_f1_L.tif,sensillum length,F1,mechano,NA,72.717,cyan 5,
NCC Ent 12,Cratomorphus sp,Cratomorphus_sp_f1_L.tif,sensillum length,F1,olfactory,trichoid,17.427,magenta 1,
NCC Ent 12,Cratomorphus sp,Cratomorphus_sp_f1_L.tif,sensillum length,F1,olfactory,trichoid,13.722,magenta 2,
NCC Ent 12,Cratomorphus sp,Cratomorphus_sp_f1_L.tif,sensillum length,F1,olfactory,trichoid,12.124,magenta 3,
NCC Ent 12,Cratomorphus sp,Cratomorphus_sp_f1_L.tif,sensillum length,F1,olfactory,trichoid,18.027,magenta 4,
NCC Ent 12,Cratomorphus sp,Cratomorphus_sp_f1_L.tif,sensillum length,F1,olfactory,trichoid,15.811,magenta 5,
NCC Ent 12,Cratomorphus sp,Cratomorphus_sp_f1_W.tif,sensillum width prox,F1,mechano,NA,4.023,cyan 1 A,
NCC Ent 12,Cratomorphus sp,Cratomorphus_sp_f1_W.tif,sensillum width med,F1,mechano,NA,1.712,cyan 1 B,
NCC Ent 12,Cratomorphus sp,Cratomorphus_sp_f1_W.tif,sensillum width dis,F1,mechano,NA,0.603,cyan 1 C,
NCC Ent 12,Cratomorphus sp,Cratomorphus_sp_f1_W.tif,sensillum width prox,F1,mechano,NA,3.77,cyan 2 A,
NCC Ent 12,Cratomorphus sp,Cratomorphus_sp_f1_W.tif,sensillum width med,F1,mechano,NA,1.65,cyan 2 B,
NCC Ent 12,Cratomorphus sp,Cratomorphus_sp_f1_W.tif,sensillum width dis,F1,mechano,NA,0.58,cyan 2 C,
NCC Ent 12,Cratomorphus sp,Cratomorphus_sp_f1_W.tif,sensillum width prox,F1,mechano,NA,4.8,cyan 3 A,
