Ellychnia californica (LACM Ent 574199),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
LACM Ent 574199,Ellychnia californica,e californica f2 - f9.tif,antenna length,NA,NA,NA,4668.097,,"4202.134 measured from photo, F1 added for total length"
LACM Ent 574199,Ellychnia californica,e californica f1.tif,segment length,F1,NA,NA,465.963,,
LACM Ent 574199,Ellychnia californica,e californica f1L-lengths.tif,sensillum length,F1,mechano,NA,68.326,1 (yellow),
LACM Ent 574199,Ellychnia californica,e californica f1L-lengths.tif,sensillum length,F1,mechano,NA,73.935,2 (yellow),
LACM Ent 574199,Ellychnia californica,e californica f1L-lengths.tif,sensillum length,F1,mechano,NA,140.218,3 (yellow),
LACM Ent 574199,Ellychnia californica,e californica f1L-lengths.tif,sensillum length,F1,mechano,NA,100.205,4 (yellow),
LACM Ent 574199,Ellychnia californica,e californica f1L-lengths.tif,sensillum length,F1,mechano,NA,125.648,5 (yellow),
LACM Ent 574199,Ellychnia californica,e californica f1L-lengths.tif,sensillum length,F1,olfactory,basiconica,12.874,1 (pink),
LACM Ent 574199,Ellychnia californica,e californica f1L-lengths.tif,sensillum length,F1,olfactory,NA,8.653,2 (pink),
LACM Ent 574199,Ellychnia californica,e californica f1L-lengths.tif,sensillum length,F1,olfactory,NA,7.048,3 (pink),
LACM Ent 574199,Ellychnia californica,e californica f1L-lengths.tif,sensillum length,F1,olfactory,NA,6.773,4 (pink),
LACM Ent 574199,Ellychnia californica,e californica f1L-lengths.tif,sensillum length,F1,olfactory,NA,23.992,5 (pink),
LACM Ent 574199,Ellychnia californica,e californica f1L-widths.tif,sensillum width prox,F1,mechano,NA,5.004,1A,
LACM Ent 574199,Ellychnia californica,e californica f1L-widths.tif,sensillum width med,F1,mechano,NA,2.36,1B,
LACM Ent 574199,Ellychnia californica,e californica f1L-widths.tif,sensillum width dis,F1,mechano,NA,0.728,1C,
LACM Ent 574199,Ellychnia californica,e californica f1L-widths.tif,sensillum width prox,F1,mechano,NA,3.708,2A,
LACM Ent 574199,Ellychnia californica,e californica f1L-widths.tif,sensillum width med,F1,mechano,NA,2.524,2B,
LACM Ent 574199,Ellychnia californica,e californica f1L-widths.tif,sensillum width dis,F1,mechano,NA,0.67,2C,
LACM Ent 574199,Ellychnia californica,e californica f1L-widths.tif,sensillum width prox,F1,mechano,NA,6.467,5A,
LACM Ent 574199,Ellychnia californica,e californica f1L-widths.tif,sensillum width med,F1,mechano,NA,3.931,5B,
LACM Ent 574199,Ellychnia californica,e californica f1L-widths.tif,sensillum width dis,F1,mechano,NA,0.498,5C,
LACM Ent 574199,Ellychnia californica,e californica f1L-widths.tif,sensillum width med,F1,olfactory,basiconica,3.452,1D,
