Ellychnia corrusca (LACM Ent 574198),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
LACM Ent 574198,Ellychnia corrusca,e corrusca antennae.tif,antenna length,NA,NA,NA,3819.793,,
LACM Ent 574198,Ellychnia corrusca,e corrusca f1L-lengths.tif,segment length,F1,NA,NA,427.346,,
LACM Ent 574198,Ellychnia corrusca,e corrusca f1L-lengths.tif,sensillum length,F1,mechano,NA,66.748,1,
LACM Ent 574198,Ellychnia corrusca,e corrusca f1L-lengths.tif,sensillum length,F1,mechano,NA,65.107,2,
LACM Ent 574198,Ellychnia corrusca,e corrusca f1L-lengths.tif,sensillum length,F1,mechano,NA,57.946,3,
LACM Ent 574198,Ellychnia corrusca,e corrusca f1L-lengths.tif,sensillum length,F1,mechano,NA,65.146,4,
LACM Ent 574198,Ellychnia corrusca,e corrusca f1L-lengths.tif,sensillum length,F1,mechano,NA,69.699,5,
LACM Ent 574198,Ellychnia corrusca,e corrusca f1L-widths2.tif,sensillum length,F1,olfactory,basiconica,6.569,1,
LACM Ent 574198,Ellychnia corrusca,e corrusca f1L-widths2.tif,sensillum length,F1,olfactory,basiconica,7.645,2,
LACM Ent 574198,Ellychnia corrusca,e corrusca f1L-widths2.tif,sensillum length,F1,olfactory,basiconica,7.606,3,
LACM Ent 574198,Ellychnia corrusca,e corrusca f1L-widths.tif,sensillum width prox,F1,mechano,NA,2.977,1A,
LACM Ent 574198,Ellychnia corrusca,e corrusca f1L-widths.tif,sensillum width med,F1,mechano,NA,2.439,1B,
LACM Ent 574198,Ellychnia corrusca,e corrusca f1L-widths.tif,sensillum width dis,F1,mechano,NA,0.888,1C,
LACM Ent 574198,Ellychnia corrusca,e corrusca f1L-widths.tif,sensillum width prox,F1,mechano,NA,3.507,2A,
LACM Ent 574198,Ellychnia corrusca,e corrusca f1L-widths.tif,sensillum width med,F1,mechano,NA,2.425,2B,
LACM Ent 574198,Ellychnia corrusca,e corrusca f1L-widths.tif,sensillum width dis,F1,mechano,NA,0.75,2C,
LACM Ent 574198,Ellychnia corrusca,e corrusca f1L-widths.tif,sensillum width prox,F1,mechano,NA,2.932,3A,
LACM Ent 574198,Ellychnia corrusca,e corrusca f1L-widths.tif,sensillum width med,F1,mechano,NA,2,3B,
LACM Ent 574198,Ellychnia corrusca,e corrusca f1L-widths.tif,sensillum width dis,F1,mechano,NA,1.106,3C,
LACM Ent 574198,Ellychnia corrusca,e corrusca f1L-widths2.tif,sensillum width med,F1,olfactory,basiconica,2.213,1D,
LACM Ent 574198,Ellychnia corrusca,e corrusca f1L-widths2.tif,sensillum width med,F1,olfactory,basiconica,2.457,2D,
LACM Ent 574198,Ellychnia corrusca,e corrusca f1L-widths2.tif,sensillum width med,F1,olfactory,basiconica,2.667,3D,
