Ellychnia simplex (LACM Ent 574194),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
LACM Ent 574194,Ellychnia simplex,e simplex antennae.tif,antenna length,NA,NA,NA,NA,,I removed the number because it's not the full length
LACM Ent 574194,Ellychnia simplex,NA,segment length,F1,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum length,F1,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum length,F1,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum length,F1,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum length,F1,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum length,F1,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width prox,F1,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width med,F1,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width dis,F1,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width prox,F1,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width med,F1,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width dis,F1,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width prox,F1,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width med,F1,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width dis,F1,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,segment length,F2,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum length,F2,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum length,F2,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum length,F2,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum length,F2,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum length,F2,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width prox,F2,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width med,F2,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width dis,F2,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width prox,F2,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width med,F2,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width dis,F2,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width prox,F2,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width med,F2,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width dis,F2,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,segment length,F3,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum length,F3,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum length,F3,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum length,F3,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum length,F3,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum length,F3,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width prox,F3,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width med,F3,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width dis,F3,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width prox,F3,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width med,F3,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width dis,F3,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width prox,F3,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width med,F3,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,NA,sensillum width dis,F3,NA,NA,NA,,
LACM Ent 574194,Ellychnia simplex,e simplex f4_xy.tif,segment length,F4,NA,NA,307.82,,
LACM Ent 574194,Ellychnia simplex,e simplex _f4L.tif,sensillum length,F4,mechano,NA,67.62,1 (yellow),
LACM Ent 574194,Ellychnia simplex,e simplex _f4L.tif,sensillum length,F4,mechano,NA,64.464,2 (yellow),
LACM Ent 574194,Ellychnia simplex,e simplex _f4L.tif,sensillum length,F4,mechano,NA,67.845,3 (yellow),
LACM Ent 574194,Ellychnia simplex,e simplex _f4L.tif,sensillum length,F4,mechano,NA,64.586,4 (yellow),
LACM Ent 574194,Ellychnia simplex,e simplex _f4L.tif,sensillum length,F4,mechano,NA,66.979,5 (yellow),
LACM Ent 574194,Ellychnia simplex,e simplex _f4L.tif,sensillum length,F4,olfactory,trichoid,10.653,1 (pink),
LACM Ent 574194,Ellychnia simplex,e simplex _f4L.tif,sensillum length,F4,olfactory,trichoid,12.252,2 (pink),
LACM Ent 574194,Ellychnia simplex,e simplex _f4L.tif,sensillum length,F4,olfactory,basiconica,5.421,3 (pink),
LACM Ent 574194,Ellychnia simplex,e simplex _f4L.tif,sensillum length,F4,olfactory,trichoid,10.853,4 (pink),
LACM Ent 574194,Ellychnia simplex,e simplex _f4L.tif,sensillum length,F4,olfactory,trichoid,9.051,5 (pink),
