Luciodata punctata (LACM Ent 574191),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
LACM Ent 574191,Lucidota punctata,NA,antenna length,NA,NA,NA,NA,,
LACM Ent 574191,Lucidota punctata,l punctata f4.tif,segment length,F4,NA,NA,597.43,,
LACM Ent 574191,Lucidota punctata,l punctata f4L.tif,sensillum length,F4,mechano,NA,72.193,1 (green),
LACM Ent 574191,Lucidota punctata,l punctata f4L.tif,sensillum length,F4,mechano,NA,68.89,2 (green),
LACM Ent 574191,Lucidota punctata,l punctata f4L.tif,sensillum length,F4,mechano,NA,69.357,3 (green),
LACM Ent 574191,Lucidota punctata,l punctata f4L.tif,sensillum length,F4,mechano,NA,70.833,4 (green),
LACM Ent 574191,Lucidota punctata,l punctata f4L.tif,sensillum length,F4,mechano,NA,77.709,5 (green),
LACM Ent 574191,Lucidota punctata,l punctata f4L.tif,sensillum length,F4,olfactory,NA,10.778,1 (orange,
LACM Ent 574191,Lucidota punctata,l punctata f4L.tif,sensillum length,F4,olfactory,NA,11.446,2 (orange),
LACM Ent 574191,Lucidota punctata,l punctata f4L.tif,sensillum length,F4,olfactory,NA,11.704,3 (orange),
LACM Ent 574191,Lucidota punctata,l punctata f4L.tif,sensillum length,F4,olfactory,NA,12.708,4 (orange),
LACM Ent 574191,Lucidota punctata,l punctata f4L.tif,sensillum length,F4,olfactory,NA,12.205,5 (orange),
LACM Ent 574191,Lucidota punctata,l punctata f4W.tif,sensillum width prox,F4,mechano,NA,3.153,1 A (green),
LACM Ent 574191,Lucidota punctata,l punctata f4W.tif,sensillum width med,F4,mechano,NA,1.732,1 B (green),
LACM Ent 574191,Lucidota punctata,l punctata f4W.tif,sensillum width dis,F4,mechano,NA,1.052,1 C (green),
LACM Ent 574191,Lucidota punctata,l punctata f4W.tif,sensillum width prox,F4,mechano,NA,3.055,2 A (green),
LACM Ent 574191,Lucidota punctata,l punctata f4W.tif,sensillum width med,F4,mechano,NA,2.039,2 B (green),
LACM Ent 574191,Lucidota punctata,l punctata f4W.tif,sensillum width dis,F4,mechano,NA,0.88,2 C (green),
LACM Ent 574191,Lucidota punctata,l punctata f4W.tif,sensillum width prox,F4,mechano,NA,3.016,3 A (green),
LACM Ent 574191,Lucidota punctata,l punctata f4W.tif,sensillum width med,F4,mechano,NA,2.143,3 B (green),
LACM Ent 574191,Lucidota punctata,l punctata f4W.tif,sensillum width dis,F4,mechano,NA,0.824,3 C (green),
LACM Ent 574191,Lucidota punctata,l punctata f4W.tif,sensillum width med,F4,olfactory,NA,8.329,1 B (orange),
LACM Ent 574191,Lucidota punctata,l punctata f4W.tif,sensillum width med,F4,olfactory,NA,8.262,2 B (orange),
LACM Ent 574191,Lucidota punctata,l punctata f4W.tif,sensillum width med,F4,olfactory,NA,8.768,3 B (orange),
LACM Ent 574191,Lucidota punctata,l punctata f5.tif,segment length,F5,NA,NA,437.536,,
LACM Ent 574191,Lucidota punctata,l punctata f5L.tif,sensillum length,F5,mechano,NA,81.286,1 (green),
LACM Ent 574191,Lucidota punctata,l punctata f5L.tif,sensillum length,F5,mechano,NA,74.095,2 (green),
LACM Ent 574191,Lucidota punctata,l punctata f5L.tif,sensillum length,F5,mechano,NA,73.792,3 (green),
LACM Ent 574191,Lucidota punctata,l punctata f5L.tif,sensillum length,F5,mechano,NA,81.535,4 (green),
LACM Ent 574191,Lucidota punctata,l punctata f5L.tif,sensillum length,F5,mechano,NA,57.319,5 (green),
LACM Ent 574191,Lucidota punctata,l punctata f5L.tif,sensillum length,F5,olfactory,NA,12.655,1 (orange,
LACM Ent 574191,Lucidota punctata,l punctata f5L.tif,sensillum length,F5,olfactory,NA,13.092,2 (orange),
LACM Ent 574191,Lucidota punctata,l punctata f5L.tif,sensillum length,F5,olfactory,NA,12.948,3 (orange),
LACM Ent 574191,Lucidota punctata,l punctata f5L.tif,sensillum length,F5,olfactory,NA,11.544,4 (orange),
LACM Ent 574191,Lucidota punctata,l punctata f5L.tif,sensillum length,F5,olfactory,NA,11.243,5 (orange),
LACM Ent 574191,Lucidota punctata,l punctata f5W.tif,sensillum width prox,F5,mechano,NA,3.456,1 (orange),
LACM Ent 574191,Lucidota punctata,l punctata f5W.tif,sensillum width med,F5,mechano,NA,1.67,1 (orange),
LACM Ent 574191,Lucidota punctata,l punctata f5W.tif,sensillum width dis,F5,mechano,NA,0.862,1 (orange),
LACM Ent 574191,Lucidota punctata,l punctata f5W.tif,sensillum width prox,F5,mechano,NA,3.39,2 (orange),
LACM Ent 574191,Lucidota punctata,l punctata f5W.tif,sensillum width med,F5,mechano,NA,2.334,2 (orange),
LACM Ent 574191,Lucidota punctata,l punctata f5W.tif,sensillum width dis,F5,mechano,NA,1.448,2 (orange),
LACM Ent 574191,Lucidota punctata,l punctata f5W.tif,sensillum width prox,F5,mechano,NA,3.634,3 (orange),
LACM Ent 574191,Lucidota punctata,l punctata f5W.tif,sensillum width med,F5,mechano,NA,1.927,3 (orange),
LACM Ent 574191,Lucidota punctata,l punctata f5W.tif,sensillum width dis,F5,mechano,NA,1.019,3 (orange),
LACM Ent 574191,Lucidota punctata,l punctata f5W.tif,sensillum width med,F5,olfactory,NA,6.79,1 (green),
LACM Ent 574191,Lucidota punctata,l punctata f5W.tif,sensillum width med,F5,olfactory,NA,7.802,2 (green),
LACM Ent 574191,Lucidota punctata,l punctata f5W.tif,sensillum width med,F5,olfactory,NA,8.55,3 (green),
LACM Ent 574191,Lucidota punctata,l punctata f6.tif,segment length,F6,NA,NA,459.435,,
LACM Ent 574191,Lucidota punctata,l punctata f6L.tif,sensillum length,F6,mechano,NA,64.876,1 (green),
LACM Ent 574191,Lucidota punctata,l punctata f6L.tif,sensillum length,F6,mechano,NA,67.696,2 (green),
LACM Ent 574191,Lucidota punctata,l punctata f6L.tif,sensillum length,F6,mechano,NA,60.031,3 (green),
LACM Ent 574191,Lucidota punctata,l punctata f6L.tif,sensillum length,F6,mechano,NA,65.636,4 (green),
LACM Ent 574191,Lucidota punctata,l punctata f6L.tif,sensillum length,F6,mechano,NA,72.024,5 (green),
LACM Ent 574191,Lucidota punctata,l punctata f6L.tif,sensillum length,F6,olfactory,NA,11.267,1 (orange,
LACM Ent 574191,Lucidota punctata,l punctata f6L.tif,sensillum length,F6,olfactory,NA,11.245,2 (orange),
