Phausis reticulata (LACM Ent 574188),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
LACM Ent 574188,Phausis reticulata,Phausis reticulata antennae.tif,antenna length,NA,NA,NA,1730.08,,
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1.tif,segment length,F1,NA,NA,334.318,,
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W_L.tif,sensillum length,F1,mechano,NA,68.363,1 (yellow),
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W_L.tif,sensillum length,F1,mechano,NA,72.177,2 (yellow),
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W_L.tif,sensillum length,F1,mechano,NA,69.921,3 (yellow),
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W_L.tif,sensillum length,F1,mechano,NA,75.57,4 (yellow),
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W_L.tif,sensillum length,F1,mechano,NA,79.89,5 (yellow),
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W_L.tif,sensillum length,F1,olfactory,trichoid,17.334,1 (pink),
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W_L.tif,sensillum length,F1,olfactory,trichoid,19.548,2 (pink),
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W_L.tif,sensillum length,F1,olfactory,trichoid,18.738,3 (pink),
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W_L.tif,sensillum length,F1,olfactory,trichoid,18.792,4 (pink),
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W_L.tif,sensillum length,F1,olfactory,trichoid,18.986,5 (pink),
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W.tif,sensillum width prox,F1,mechano,NA,2.671,1A,
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W.tif,sensillum width med,F1,mechano,NA,4.761,1B,
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W.tif,sensillum width dis,F1,mechano,NA,1.527,1C,
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W.tif,sensillum width prox,F1,mechano,NA,2.899,2A,
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W.tif,sensillum width med,F1,mechano,NA,4.402,2B,
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W.tif,sensillum width dis,F1,mechano,NA,2.045,2C,
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W.tif,sensillum width prox,F1,mechano,NA,3.333,3A,
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W.tif,sensillum width med,F1,mechano,NA,4.479,3B,
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W.tif,sensillum width dis,F1,mechano,NA,1.527,3C,
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W.tif,sensillum width med,F1,olfactory,trichoid,3.234,1D,
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W.tif,sensillum width med,F1,olfactory,trichoid,3.297,2D,
LACM Ent 574188,Phausis reticulata,Phausis reticulata f1W.tif,sensillum width med,F1,olfactory,trichoid,3.379,3D,
LACM Ent 574188,Phausis reticulata,Phausis reticulata f2.tif,segment length,F2,NA,NA,284.005,,
LACM Ent 574188,Phausis reticulata,Phausis reticulata f2L.tif,sensillum length,F2,mechano,NA,72.417,1 (yellow),
LACM Ent 574188,Phausis reticulata,Phausis reticulata f2L.tif,sensillum length,F2,mechano,NA,67.772,2 (yellow),
LACM Ent 574188,Phausis reticulata,Phausis reticulata f2L.tif,sensillum length,F2,mechano,NA,68.833,3 (yellow),
LACM Ent 574188,Phausis reticulata,Phausis reticulata f2L.tif,sensillum length,F2,mechano,NA,73.441,4 (yellow),
LACM Ent 574188,Phausis reticulata,Phausis reticulata f2L.tif,sensillum length,F2,mechano,NA,74.925,5 (yellow),
LACM Ent 574188,Phausis reticulata,Phausis reticulata f2L.tif,sensillum length,F2,olfactory,trichoid,17.188,1 (pink),
LACM Ent 574188,Phausis reticulata,Phausis reticulata f2L.tif,sensillum length,F2,olfactory,trichoid,18.296,2 (pink),
LACM Ent 574188,Phausis reticulata,Phausis reticulata f2L.tif,sensillum length,F2,olfactory,trichoid,20.202,3 (pink),
LACM Ent 574188,Phausis reticulata,Phausis reticulata f2L.tif,sensillum length,F2,olfactory,trichoid,18.707,4 (pink),
LACM Ent 574188,Phausis reticulata,Phausis reticulata f2L.tif,sensillum length,F2,olfactory,trichoid,18.49,5 (pink),
LACM Ent 574188,Phausis reticulata,Phausis reticulata f2W.tif,sensillum width prox,F2,mechano,NA,3.708,1A,
LACM Ent 574188,Phausis reticulata,Phausis reticulata f2W.tif,sensillum width med,F2,mechano,NA,3.977,1B,
LACM Ent 574188,Phausis reticulata,Phausis reticulata f2W.tif,sensillum width dis,F2,mechano,NA,1.578,1C,
