Photinus marginellus (LACM Ent 574183),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
LACM Ent 574183,Photinus marginellus,Photinus marginellus antennae.tif,antenna length,NA,NA,NA,2853.437,,"Antennae was broken in half, so this is the sum of two measurements."
LACM Ent 574183,Photinus marginellus,Photinus marginellus F1.tif,segment length,F1,NA,NA,335.604,,
LACM Ent 574183,Photinus marginellus,Photinus marginellus F1L-lengths.tif,sensillum length,F1,mechano,NA,86.742,1 (yellow),
LACM Ent 574183,Photinus marginellus,Photinus marginellus F1L-lengths.tif,sensillum length,F1,mechano,NA,58.367,2 (yellow),
LACM Ent 574183,Photinus marginellus,Photinus marginellus F1L-lengths.tif,sensillum length,F1,mechano,NA,84.026,3 (yellow),
LACM Ent 574183,Photinus marginellus,Photinus marginellus F1L-lengths.tif,sensillum length,F1,mechano,NA,99.959,4 (yellow),
LACM Ent 574183,Photinus marginellus,Photinus marginellus F1L-lengths.tif,sensillum length,F1,mechano,NA,108.038,5 (yellow),
LACM Ent 574183,Photinus marginellus,Photinus marginellus F1L-lengths.tif,sensillum length,F1,olfactory,basiconica,8.221,1 (pink),
LACM Ent 574183,Photinus marginellus,Photinus marginellus F1L-lengths.tif,sensillum length,F1,olfactory,basiconica,6.442,2 (pink),
LACM Ent 574183,Photinus marginellus,Photinus marginellus F1L-lengths.tif,sensillum length,F1,olfactory,trichoid,16.559,3 (pink),
LACM Ent 574183,Photinus marginellus,Photinus marginellus F1L-lengths.tif,sensillum length,F1,olfactory,basiconica,8.034,4 (pink),
LACM Ent 574183,Photinus marginellus,Photinus marginellus F1L-lengths.tif,sensillum length,F1,olfactory,basiconica,5.937,5 (pink),
LACM Ent 574183,Photinus marginellus,Photinus marginellus F1W-widths.tif,sensillum width prox,F1,mechano,NA,2.583,1A,
LACM Ent 574183,Photinus marginellus,Photinus marginellus F1W-widths.tif,sensillum width med,F1,mechano,NA,1.173,1B,
LACM Ent 574183,Photinus marginellus,Photinus marginellus F1W-widths.tif,sensillum width dis,F1,mechano,NA,0.561,1C,
LACM Ent 574183,Photinus marginellus,Photinus marginellus F1W-widths.tif,sensillum width prox,F1,mechano,NA,3.082,2A,
LACM Ent 574183,Photinus marginellus,Photinus marginellus F1W-widths.tif,sensillum width med,F1,mechano,NA,2.356,2B,
LACM Ent 574183,Photinus marginellus,Photinus marginellus F1W-widths.tif,sensillum width dis,F1,mechano,NA,0.831,2C,
LACM Ent 574183,Photinus marginellus,Photinus marginellus F1W-widths.tif,sensillum width prox,F1,mechano,NA,3.727,3A,
LACM Ent 574183,Photinus marginellus,Photinus marginellus F1W-widths.tif,sensillum width med,F1,mechano,NA,3.127,3B,
LACM Ent 574183,Photinus marginellus,Photinus marginellus F1W-widths.tif,sensillum width dis,F1,mechano,NA,1.002,3C,
