Photinus pyralis (LACM Ent 574182),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
LACM Ent 574182,Photinus pyralis,,antenna length,NA,NA,NA,,,
LACM Ent 574182,Photinus pyralis,Photinus pyralis_f1.tif ,segment length,F1,NA,NA,434.604,,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1L.tif ,sensillum length,F1,mechano,NA,44.003,1 green,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1L.tif ,sensillum length,F1,mechano,NA,54.203,2 green,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1L.tif ,sensillum length,F1,mechano,NA,48.66,3 green,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1L.tif ,sensillum length,F1,mechano,NA,46.583,4 green,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1L.tif ,sensillum length,F1,mechano,NA,51.967,5 green,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1L.tif ,sensillum length,F1,olfactory,NA,14.27,1 orange,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1L.tif ,sensillum length,F1,olfactory,NA,8.668,2 orange,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1L.tif ,sensillum length,F1,olfactory,NA,23.127,3 orange,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1L.tif ,sensillum length,F1,olfactory,NA,21.876,4 orange,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1L.tif ,sensillum length,F1,olfactory,NA,16.785,5 orange,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1W.tif,sensillum width prox,F1,mechano,NA,3.225,1A,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1W.tif,sensillum width med,F1,mechano,NA,1.922,1B,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1W.tif,sensillum width dis,F1,mechano,NA,0.759,1C,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1W.tif,sensillum width prox,F1,mechano,NA,3.027,2A,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1W.tif,sensillum width med,F1,mechano,NA,2.006,2B,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1W.tif,sensillum width dis,F1,mechano,NA,0.721,2C,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1W.tif,sensillum width prox,F1,mechano,NA,3.16,3A,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1W.tif,sensillum width med,F1,mechano,NA,2.283,3B,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1W.tif,sensillum width dis,F1,mechano,NA,1.121,3C,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1W.tif,sensillum width med,F1,olfactory,trichoid,1.556,1D,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1W.tif,sensillum width med,F1,olfactory,trichoid,1.805,2D,
LACM Ent 574182,Photinus pyralis,Photinus pyralis F1W.tif,sensillum width med,F1,olfactory,trichoid,1.601,3D,
