Photinus scintillans (NCC Ent 4),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
NCC Ent 4,Photinus scintillans,photinus_scintillans_antennae.tif,antenna length,NA,NA,NA,2320.13,,
NCC Ent 4,Photinus scintillans,photinus_scintillans_antennae.tif,segment length,F1,NA,NA,281.52,,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_L.tif,sensillum length,F1,mechano,NA,63.622,yellow 1,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_L.tif,sensillum length,F1,mechano,NA,81.517,yellow 2,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_L.tif,sensillum length,F1,mechano,NA,81.459,yellow 3,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_L.tif,sensillum length,F1,mechano,NA,74.087,yellow 4,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_L.tif,sensillum length,F1,mechano,NA,73.702,yellow 5,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_L.tif,sensillum length,F1,olfactory,trichoid,10.463,pink 1,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_L.tif,sensillum length,F1,olfactory,trichoid,11.373,pink 2,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_L.tif,sensillum length,F1,olfactory,trichoid,9.475,pink 3,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_L.tif,sensillum length,F1,olfactory,trichoid,11.86,pink 4,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_L.tif,sensillum length,F1,olfactory,trichoid,9.749,pink 5,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_W.tif,sensillum width prox,F1,mechano,NA,2.61,yellow 1A,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_W.tif,sensillum width med,F1,mechano,NA,1.634,yellow 1B,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_W.tif,sensillum width dis,F1,mechano,NA,0.354,yellow 1C,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_W.tif,sensillum width prox,F1,mechano,NA,2.872,yellow 2A,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_W.tif,sensillum width med,F1,mechano,NA,1.684,yellow 2B,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_W.tif,sensillum width dis,F1,mechano,NA,0.635,yellow 2C,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_W.tif,sensillum width prox,F1,mechano,NA,2.91,yellow 3A,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_W.tif,sensillum width med,F1,mechano,NA,1.9,yellow 3B,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_W.tif,sensillum width dis,F1,mechano,NA,0.506,yellow 3C,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_W.tif,sensillum width med,F1,olfactory,trichoid,1.478,pink 1B,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_W.tif,sensillum width med,F1,olfactory,trichoid,1.671,pink 2B,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f1_W.tif,sensillum width med,F1,olfactory,trichoid,1.573,pink 3B,
NCC Ent 4,Photinus scintillans,photinus_scintillans_antennae.tif,segment length,F2,NA,NA,260.141,,
NCC Ent 4,Photinus scintillans,photinus_scintillans_f2_L.tif,sensillum length,F2,mechano,NA,79.667,yellow 1,
