Photuris flavicollis (NCC Ent 6),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_antennae.tif,antenna length,NA,NA,NA,1384.212,,"4 segments added together on the left, upper right portions not counted"
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_antennae.tif,segment length,F1,NA,NA,333.85,,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_L.tif,sensillum length,F1,mechano,NA,57.355,yellow 1,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_L.tif,sensillum length,F1,mechano,NA,51.07,yellow 2,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_L.tif,sensillum length,F1,mechano,NA,54.01,yellow 3,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_L.tif,sensillum length,F1,mechano,NA,65.806,yellow 4,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_L.tif,sensillum length,F1,mechano,NA,48.698,yellow 5,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_L.tif,sensillum length,F1,olfactory,trichoid,9.355,pink 1,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_L.tif,sensillum length,F1,olfactory,trichoid,10.458,pink 2,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_L.tif,sensillum length,F1,olfactory,trichoid,10.091,pink 3,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_L.tif,sensillum length,F1,olfactory,trichoid,12.522,pink 4,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_L.tif,sensillum length,F1,olfactory,trichoid,12.237,pink 5,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_W.tif,sensillum width prox,F1,mechano,NA,3.796,yellow 1A,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_W.tif,sensillum width med,F1,mechano,NA,2.15,yellow 1B,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_W.tif,sensillum width dis,F1,mechano,NA,1.317,yellow 1C,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_W.tif,sensillum width prox,F1,mechano,NA,3.18,yellow 2A,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_W.tif,sensillum width med,F1,mechano,NA,1.574,yellow 2B,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_W.tif,sensillum width dis,F1,mechano,NA,0.883,yellow 2C,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_W.tif,sensillum width prox,F1,mechano,NA,3.587,yellow 3A,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_W.tif,sensillum width med,F1,mechano,NA,2.65,yellow 3B,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_W.tif,sensillum width dis,F1,mechano,NA,1.314,yellow 3C,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_W.tif,sensillum width prox,F1,olfactory,trichoid,1.268,pink 1B,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_W.tif,sensillum width med,F1,olfactory,trichoid,1.572,pink 2B,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f1_W.tif,sensillum width dis,F1,olfactory,trichoid,1.614,pink 3B,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_antennae.tif,segment length,F2,NA,NA,317.736,,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_L.tif,sensillum length,F2,mechano,NA,31.308,yellow 1,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_L.tif,sensillum length,F2,mechano,NA,62.24,yellow 2,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_L.tif,sensillum length,F2,mechano,NA,37.197,yellow 3,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_L.tif,sensillum length,F2,mechano,NA,31.049,yellow 4,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_L.tif,sensillum length,F2,mechano,NA,58.235,yellow 5,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_L.tif,sensillum length,F2,olfactory,trichoid,13.806,pink 1,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_L.tif,sensillum length,F2,olfactory,trichoid,17.213,pink 2,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_L.tif,sensillum length,F2,olfactory,trichoid,10.432,pink 3,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_L.tif,sensillum length,F2,olfactory,trichoid,9.123,pink 4,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_L.tif,sensillum length,F2,olfactory,trichoid,11.076,pink 5,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_W.tif,sensillum width prox,F2,mechano,NA,4.041,yellow 1A,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_W.tif,sensillum width med,F2,mechano,NA,3.016,yellow 1B,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_W.tif,sensillum width dis,F2,mechano,NA,0.851,yellow 1C,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_W.tif,sensillum width prox,F2,mechano,NA,3.004,yellow 2A,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_W.tif,sensillum width med,F2,mechano,NA,2.028,yellow 2B,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_W.tif,sensillum width dis,F2,mechano,NA,1.244,yellow 2C,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_W.tif,sensillum width prox,F2,mechano,NA,3.641,yellow 3A,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_W.tif,sensillum width med,F2,mechano,NA,2.415,yellow 3B,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_W.tif,sensillum width dis,F2,mechano,NA,1.098,yellow 3C,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_W.tif,sensillum width prox,F2,olfactory,trichoid,1.509,pink 1B,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_W.tif,sensillum width med,F2,olfactory,trichoid,1.248,pink 2B,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f2_W.tif,sensillum width dis,F2,olfactory,trichoid,1.095,pink 3B,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_antennae.tif,segment length,F3,NA,NA,323.554,,
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f3_L.tif,sensillum length,F3,mechano,NA,47.79,1 (yellow),
NCC Ent 6,Photuris flavicollis,Photuris_flavicollis_f3_L.tif,sensillum length,F3,mechano,NA,43.171,2 (yellow),
