Pyractomena angulata (LACM Ent 574186),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
LACM Ent 574186,Pyractomena angulata,Pyractomena angulata antennae.tif,antenna length,NA,NA,NA,2573.71,,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F1.tif,segment length,F1,NA,NA,239.913,,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F1L.tif,sensillum length,F1,mechano,NA,50.593,1 (yellow),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F1L.tif,sensillum length,F1,mechano,NA,52.554,2 (yellow),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F1L.tif,sensillum length,F1,mechano,NA,63.621,3 (yellow),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F1L.tif,sensillum length,F1,mechano,NA,47.588,4 (yellow),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F1L.tif,sensillum length,F1,mechano,NA,41.885,5 (yellow),
LACM Ent 574187,Pyractomena angulata,NA,sensillum length,F1,olfactory,NA,NA,,no olfactory present
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F1W.tif,sensillum width prox,F1,mechano,NA,3.187,1A,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F1W.tif,sensillum width med,F1,mechano,NA,1.553,1B,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F1W.tif,sensillum width dis,F1,mechano,NA,0.487,1C,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F1W.tif,sensillum width prox,F1,mechano,NA,4.25,2A,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F1W.tif,sensillum width med,F1,mechano,NA,1.816,2B,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F1W.tif,sensillum width dis,F1,mechano,NA,1.012,2C,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F1W.tif,sensillum width prox,F1,mechano,NA,3.345,3A,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F1W.tif,sensillum width med,F1,mechano,NA,1.239,3B,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F1W.tif,sensillum width dis,F1,mechano,NA,0.557,3C,
LACM Ent 574187,Pyractomena angulata,NA,sensillum width med,F1,olfactory,NA,NA,,no olfactory present
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F2.tif,segment length,F2,NA,NA,326.688,,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F2L.tif,sensillum length,F2,mechano,NA,62.462,1 (yellow),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F2L.tif,sensillum length,F2,mechano,NA,57.328,2 (yellow),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F2L.tif,sensillum length,F2,mechano,NA,62.779,3 (yellow),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F2L.tif,sensillum length,F2,mechano,NA,53.832,4 (yellow),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F2L.tif,sensillum length,F2,mechano,NA,53.002,5 (yellow),
LACM Ent 574187,Pyractomena angulata,NA,sensillum length,F2,olfactory,NA,NA,,no olfactory present
LACM Ent 574187,Pyractomena angulata,NA,sensillum width prox,F2,mechano,NA,2.867,1A,
LACM Ent 574187,Pyractomena angulata,NA,sensillum width med,F2,mechano,NA,1.283,1B,
LACM Ent 574187,Pyractomena angulata,NA,sensillum width dis,F2,mechano,NA,0.584,1C,
LACM Ent 574187,Pyractomena angulata,NA,sensillum width prox,F2,mechano,NA,3.154,2A,
LACM Ent 574187,Pyractomena angulata,NA,sensillum width med,F2,mechano,NA,1.745,2B,
LACM Ent 574187,Pyractomena angulata,NA,sensillum width dis,F2,mechano,NA,0.636,2C,
LACM Ent 574187,Pyractomena angulata,NA,sensillum width prox,F2,mechano,NA,2.87,3A,
LACM Ent 574187,Pyractomena angulata,NA,sensillum width med,F2,mechano,NA,1.355,3B,
LACM Ent 574187,Pyractomena angulata,NA,sensillum width dis,F2,mechano,NA,0.474,3C,
LACM Ent 574187,Pyractomena angulata,NA,sensillum width med,F2,olfactory,NA,NA,,no olfactory present
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3.tif,segment length,F3,NA,NA,293.797,,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L.tif,sensillum length,F3,mechano,NA,48.739,1 (yellow),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L.tif,sensillum length,F3,mechano,NA,72.647,2 (yellow),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L.tif,sensillum length,F3,mechano,NA,55.171,3 (yellow),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L.tif,sensillum length,F3,mechano,NA,53.78,4 (yellow),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L.tif,sensillum length,F3,mechano,NA,73.389,5 (yellow),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L.tif,sensillum length,F3,olfactory,trichoid,15.999,1 (pink),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L.tif,sensillum length,F3,olfactory,trichoid,15.33,2 (pink),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L.tif,sensillum length,F3,olfactory,trichoid,15.522,3 (pink),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L.tif,sensillum length,F3,olfactory,trichoid,18.953,4 (pink),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L.tif,sensillum length,F3,olfactory,trichoid,16.61,5 (pink),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L-W.tif,sensillum width prox,F3,mechano,NA,4.486,1A,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L-W.tif,sensillum width med,F3,mechano,NA,1.921,1B,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L-W.tif,sensillum width dis,F3,mechano,NA,0.937,1C,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L-W.tif,sensillum width prox,F3,mechano,NA,3.491,2A,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L-W.tif,sensillum width med,F3,mechano,NA,1.923,2B,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L-W.tif,sensillum width dis,F3,mechano,NA,0.731,2C,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L-W.tif,sensillum width prox,F3,mechano,NA,3.909,3A,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L-W.tif,sensillum width med,F3,mechano,NA,1.827,3B,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L-W.tif,sensillum width dis,F3,mechano,NA,0.841,3C,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L-W.tif,sensillum width med,F3,olfactory,trichoid,2.094,1D,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L-W.tif,sensillum width med,F3,olfactory,trichoid,1.689,2D,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F3L-W.tif,sensillum width med,F3,olfactory,trichoid,2.059,3D,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F4.tif,segment length,F4,NA,NA,262.148,,
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F4L.tif,sensillum length,F4,mechano,NA,52.657,1 (yellow),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F4L.tif,sensillum length,F4,mechano,NA,53.556,2 (yellow),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F4L.tif,sensillum length,F4,mechano,NA,51.727,3 (yellow),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F4L.tif,sensillum length,F4,mechano,NA,53.054,4 (yellow),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F4L.tif,sensillum length,F4,mechano,NA,52.901,5 (yellow),
LACM Ent 574187,Pyractomena angulata,Pyractomena angulata F4L.tif,sensillum length,F4,olfactory,trichoid,12.527,1 (pink),
