Pyractomena borealis (LACM Ent 574186),,,,,,,,,
Specimen,Species,Filename,Measurement_type,Location,Sensillum_type,Olfactory_type,Value,Label on image,Comments
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis antennae.tif,antenna length,NA,NA,NA,3088.854,,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1.tif,segment length,F1,NA,NA,424.234,,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1L.tif,sensillum length,F1,mechano,NA,59.68,1 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1L.tif,sensillum length,F1,mechano,NA,77.137,2 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1L.tif,sensillum length,F1,mechano,NA,61.894,3 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1L.tif,sensillum length,F1,mechano,NA,62.802,4 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1L.tif,sensillum length,F1,mechano,NA,62.515,5 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum length,F1,olfactory,NA,,,none present
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum width prox,F1,mechano,NA,4.748,1A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum width med,F1,mechano,NA,2.324,1B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum width dis,F1,mechano,NA,1.099,1C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum width prox,F1,mechano,NA,3.157,2A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum width med,F1,mechano,NA,1.973,2B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum width dis,F1,mechano,NA,0.644,2C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum width prox,F1,mechano,NA,4.059,3A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum width med,F1,mechano,NA,2.161,3B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum width dis,F1,mechano,NA,1.249,3C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F1W.tif,sensillum width med,F1,olfactory,NA,,,none present
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2.tif,segment length,F2,NA,NA,373.442,,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2L.tif,sensillum length,F2,mechano,NA,57.517,1 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2L.tif,sensillum length,F2,mechano,NA,59.619,2 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2L.tif,sensillum length,F2,mechano,NA,59.78,3 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2L.tif,sensillum length,F2,mechano,NA,62.093,4 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2L.tif,sensillum length,F2,mechano,NA,52.819,5 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2L.tif,sensillum length,F2,olfactory,trichoid,12.484,1 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2L.tif,sensillum length,F2,olfactory,trichoid,11.482,2 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2L.tif,sensillum length,F2,olfactory,trichoid,11.003,3 orange,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width prox,F2,mechano,NA,3.298,1A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width med,F2,mechano,NA,1.672,1B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width dis,F2,mechano,NA,0.712,1C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width prox,F2,mechano,NA,3.809,2A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width med,F2,mechano,NA,2.137,2B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width dis,F2,mechano,NA,0.615,2C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width prox,F2,mechano,NA,3.272,3A,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width med,F2,mechano,NA,1.543,3B,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width dis,F2,mechano,NA,0.677,3C,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width med,F2,olfactory,trichoid,1.851,1D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width med,F2,olfactory,trichoid,1.692,2D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F2W.tif,sensillum width med,F2,olfactory,trichoid,1.916,3D,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3.tif,segment length,F3,NA,NA,297.739,,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3L.tif,sensillum length,F3,mechano,NA,56.647,1 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3L.tif,sensillum length,F3,mechano,NA,58.457,2 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3L.tif,sensillum length,F3,mechano,NA,73.313,3 green,
LACM Ent 574186,Pyractomena borealis,Pyractomena borealis F3L.tif,sensillum length,F3,mechano,NA,61.538,4 green,
