,Species,Keep
1,Telegeusis_nubifer,0
2,Microrhagus_pygmaeus,0
3,Cantharidae_sp,0
4,Calopteron_reticulatum,0
5,Pyrophorous_sp,0
6,Ampedus_pomonae,0
7,Rhagophthalmus_ohbai,0
8,Phengodes_sp,0
9,Zarhipis_integripennis,0
10,Lamprigera_yunnana,0
11,Luciolinae_nr_Luciola,1
12,Asymmetrica_circumdata,0
13,Luciolinae_sp,1
14,Lloydiella_uberia,0
15,Luciola_sp,1
16,Atyphella_flammulans,0
17,Curtos_bilineatus,0
18,Curtos_obsuricolor,0
19,Australoluciola_sp,0
20,Australoluciola_nigra,0
21,Pteroptyx_sp,0
22,Trisinuata_sp,0
23,Abscondita_cerata,0
24,Emeia_pseudosauteri,0
25,Pygoluciola_qinqyu,0
26,Curtos_sp,0
27,Pterotus_obscuripennis,0
28,Pollaclasis_bifaria,0
29,Stenocladius_shirakii,0
30,Drilaster_sp,0
31,Phausis_reticulata,1
32,Lamprohiza_splendidula,0
33,Psilocladus_sp,0
34,Psilocladus_sigillatus,0
35,Amydetes_fastigiata,0
36,Memoan_ciceroi,0
37,Photuris_quadrifulgens,1
38,Photuris_divisia,1
39,Photuris_congener,1
40,Photuris_frontalis,1
41,Bicellonycha_sp,1
42,Pyrogaster_sp,0
43,Vesta_impressicollis,1
44,Vesta_saturnalis,1
45,Vesta_sp,1
46,Cladodes_illigeri,0
47,Tenaspis_angularis,1
48,Lychnacris_sp,0
49,Petalacmis_sp,0
50,Lucio_blattinum,1
51,Lamprocera_sp,0
52,Cratomorphus_sp,1
53,Pleotomodes_needhami,0
54,Microphotus_sp,1
55,Diaphanes_pectinealis,0
56,Pyrocoelia_pygidialis,0
57,Lampyris_noctiluca,0
58,Diaphanes_sp,0
59,Pyractomena_borealis,1
60,Aspisoma_sp,1
61,Aspisoma_sticticum,1
62,Phosphaenopterus_metzneri,0
63,Lucidota_atra,1
64,Photinini_sp,0
65,Ethra_axillaris,0
66,Heterophotinus_sp,0
67,Scissicauda_disjuncta,0
68,Pyropyga_decipiens,1
69,Pyropyga_nigricans,1
70,Photinus_floridanus,1
71,Photinus_stellaris,1
72,Photinus_ardens,1
73,Photinus_carolinus,1
74,Photinus_pyralis,1
75,Ellychnia_sp,1
76,Ellychnia_corrusca,1
77,Photinus_macdermotti,1
78,Photinus_granulatus,1
79,Photinus_australis,1
80,Photinus_brimleyi,1
