"","x"
"1","Telegeusis_nubifer"
"2","Microrhagus_pygmaeus"
"3","Cantharidae_sp"
"4","Calopteron_reticulatum"
"5","Pyrophorous_sp"
"6","Ampedus_pomonae"
"7","Rhagophthalmus_ohbai"
"8","Phengodes_sp"
"9","Zarhipis_integripennis"
"10","Lamprigera_yunnana"
"11","Luciolinae_nr_Luciola"
"12","Asymmetrica_circumdata"
"13","Luciolinae_sp"
"14","Lloydiella_uberia"
"15","Luciola_sp"
"16","Atyphella_flammulans"
"17","Curtos_bilineatus"
"18","Curtos_obsuricolor"
"19","Australoluciola_sp"
"20","Australoluciola_nigra"
"21","Pteroptyx_sp"
"22","Trisinuata_sp"
"23","Abscondita_cerata"
"24","Emeia_pseudosauteri"
"25","Pygoluciola_qinqyu"
"26","Curtos_sp"
"27","Pterotus_obscuripennis"
"28","Pollaclasis_bifaria"
"29","Stenocladius_shirakii"
"30","Drilaster_sp"
"31","Phausis_reticulata"
"32","Lamprohiza_splendidula"
"33","Psilocladus_sp"
"34","Psilocladus_sigillatus"
"35","Amydetes_fastigiata"
"36","Memoan_ciceroi"
"37","Photuris_quadrifulgens"
"38","Photuris_divisia"
"39","Photuris_congener"
"40","Photuris_frontalis"
"41","Bicellonycha_sp"
"42","Pyrogaster_sp"
"43","Vesta_impressicollis"
"44","Vesta_saturnalis"
"45","Vesta_sp"
"46","Cladodes_illigeri"
"47","Tenaspis_angularis"
"48","Lychnacris_sp"
"49","Petalacmis_sp"
"50","Lucio_blattinum"
"51","Lamprocera_sp"
"52","Cratomorphus_sp"
"53","Pleotomodes_needhami"
"54","Microphotus_sp"
"55","Diaphanes_pectinealis"
"56","Pyrocoelia_pygidialis"
"57","Lampyris_noctiluca"
"58","Diaphanes_sp"
"59","Pyractomena_borealis"
"60","Aspisoma_sp"
"61","Aspisoma_sticticum"
"62","Phosphaenopterus_metzneri"
"63","Lucidota_atra"
"64","Photinini_sp"
"65","Ethra_axillaris"
"66","Heterophotinus_sp"
"67","Scissicauda_disjuncta"
"68","Pyropyga_decipiens"
"69","Pyropyga_nigricans"
"70","Photinus_floridanus"
"71","Photinus_stellaris"
"72","Photinus_ardens"
"73","Photinus_carolinus"
"74","Photinus_pyralis"
"75","Ellychnia_sp"
"76","Ellychnia_corrusca"
"77","Photinus_macdermotti"
"78","Photinus_granulatus"
"79","Photinus_australis"
"80","Photinus_brimleyi"
