"specimen","species","signal","sex","body_length","location","sensillum_type","olfactory_type","mean_dists","density","fraction","counts"
"BPC 1","Photinus macdermotti","visual",NA,NA,"F1","mechano",NA,25.9255922426114,0.00350251069388623,0.898305084745763,106
"BPC 1","Photinus macdermotti","visual",NA,NA,"F1","hygro-thermo",NA,NA,NA,NA,0
"BPC 1","Photinus macdermotti","visual",NA,NA,"F1","olfactory","trichoid",36.7924330514737,0.000363468090874986,1,11
"BPC 1","Photinus macdermotti","visual",NA,NA,"F1","olfactory","basiconica",NA,NA,0,0
"BPC 1","Photinus macdermotti","visual",NA,NA,"F1","olfactory","capitular",NA,NA,0,0
"BPC 1","Photinus macdermotti","visual",NA,NA,"F1","olfactory",NA,34.9449188474427,0.000396510644590894,0.101694915254237,11
"BPC 1","Photinus macdermotti","visual",NA,NA,"F1","all",NA,24.3669285168116,0.00389902133847712,1,118
"BPC 1","Photinus macdermotti","visual",NA,NA,"F2","mechano",NA,NA,NA,NA,NA
"BPC 1","Photinus macdermotti","visual",NA,NA,"F2","hygro-thermo",NA,NA,NA,NA,NA
"BPC 1","Photinus macdermotti","visual",NA,NA,"F2","olfactory","trichoid",NA,NA,NA,NA
"BPC 1","Photinus macdermotti","visual",NA,NA,"F2","olfactory","basiconica",NA,NA,NA,NA
"BPC 1","Photinus macdermotti","visual",NA,NA,"F2","olfactory","capitular",NA,NA,NA,NA
"BPC 1","Photinus macdermotti","visual",NA,NA,"F2","olfactory",NA,NA,NA,NA,NA
"BPC 1","Photinus macdermotti","visual",NA,NA,"F2","all",NA,NA,NA,NA,NA
"BPC 1","Photinus macdermotti","visual",NA,NA,"F3","mechano",NA,NA,NA,NA,NA
"BPC 1","Photinus macdermotti","visual",NA,NA,"F3","hygro-thermo",NA,NA,NA,NA,NA
"BPC 1","Photinus macdermotti","visual",NA,NA,"F3","olfactory","trichoid",NA,NA,NA,NA
"BPC 1","Photinus macdermotti","visual",NA,NA,"F3","olfactory","basiconica",NA,NA,NA,NA
"BPC 1","Photinus macdermotti","visual",NA,NA,"F3","olfactory","capitular",NA,NA,NA,NA
"BPC 1","Photinus macdermotti","visual",NA,NA,"F3","olfactory",NA,NA,NA,NA,NA
"BPC 1","Photinus macdermotti","visual",NA,NA,"F3","all",NA,NA,NA,NA,NA
"BPC 1","Photinus macdermotti","visual",NA,NA,"F4","mechano",NA,18.9408853813717,0.00612994422985232,0.772151898734177,61
"BPC 1","Photinus macdermotti","visual",NA,NA,"F4","hygro-thermo",NA,47.1538690630351,0.000301472667041917,0.0379746835443038,3
"BPC 1","Photinus macdermotti","visual",NA,NA,"F4","olfactory","trichoid",40.2940282468552,0.000904418001125751,0.692307692307692,9
"BPC 1","Photinus macdermotti","visual",NA,NA,"F4","olfactory","basiconica",44.7095106952455,0.00040196355605589,0.307692307692308,4
"BPC 1","Photinus macdermotti","visual",NA,NA,"F4","olfactory","capitular",NA,NA,0,0
"BPC 1","Photinus macdermotti","visual",NA,NA,"F4","olfactory",NA,27.3468069215533,0.00150736333520959,0.189873417721519,13
"BPC 1","Photinus macdermotti","visual",NA,NA,"F4","all",NA,16.2181058793437,0.00793878023210382,1,79
"BPC 1","Photinus macdermotti","visual",NA,NA,"F5","mechano",NA,23.5650770420512,0.00342793681689664,0.660869565217391,76
"BPC 1","Photinus macdermotti","visual",NA,NA,"F5","hygro-thermo",NA,29.1822800309705,0.000135313295403815,0.0260869565217391,3
