"specimen","species","filename","measurement_type","location","sensillum_type","olfactory_type","value","label_on_image","comments","signal","sex","body_length"
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_antennae2.tif","antenna length",NA,NA,NA,5139.609,"","added both antennae images ","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_antennae2.tif","segment length","F1",NA,NA,758.414,"","","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_L.tif","sensillum length","F1","mechano",NA,102.75,"1","green","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_L.tif","sensillum length","F1","mechano",NA,96.533,"2","green","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_L.tif","sensillum length","F1","mechano",NA,92.017,"3","green","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_L.tif","sensillum length","F1","mechano",NA,94.606,"4","green","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_L.tif","sensillum length","F1","mechano",NA,65.828,"5","green","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_L.tif","sensillum length","F1","olfactory","trichoid",5.145,"1","cyan","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_L.tif","sensillum length","F1","olfactory","trichoid",6.201,"2","cyan","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_L.tif","sensillum length","F1","olfactory","trichoid",5.724,"3","cyan","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_L.tif","sensillum length","F1","olfactory","trichoid",6.861,"4","cyan","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_L.tif","sensillum length","F1","olfactory","trichoid",30.018,"5","cyan","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_W.tif","sensillum width prox","F1","mechano",NA,7.671,"1A","green","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_W.tif","sensillum width med","F1","mechano",NA,4.424,"1B","green","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_W.tif","sensillum width dis","F1","mechano",NA,2.488,"1C","green","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_W.tif","sensillum width prox","F1","mechano",NA,8.852,"2A","green","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_W.tif","sensillum width med","F1","mechano",NA,2.809,"2B","green","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_W.tif","sensillum width dis","F1","mechano",NA,0.796,"2C","green","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_W.tif","sensillum width prox","F1","mechano",NA,5.355,"3A","green","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_W.tif","sensillum width med","F1","mechano",NA,2.695,"3B","green","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_W.tif","sensillum width dis","F1","mechano",NA,1.306,"3C","green","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_W.tif","sensillum width prox","F1","olfactory","trichoid",1.963,"1","cyan","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_W.tif","sensillum width med","F1","olfactory","trichoid",2.296,"2","cyan","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f1_W.tif","sensillum width dis","F1","olfactory","trichoid",1.732,"3","cyan","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_antennae2.tif","segment length","F2",NA,NA,383.059,"","","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f2_L.tif","sensillum length","F2","mechano",NA,92.899,"1","green","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f2_L.tif","sensillum length","F2","mechano",NA,90.702,"2","green","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f2_L.tif","sensillum length","F2","mechano",NA,101.487,"3","green","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f2_L.tif","sensillum length","F2","mechano",NA,70.24,"4","green","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f2_L.tif","sensillum length","F2","mechano",NA,54.522,"5","green","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f2_L.tif","sensillum length","F2","olfactory","trichoid",11.935,"1","cyan","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f2_L.tif","sensillum length","F2","olfactory","trichoid",15.075,"2","cyan","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f2_L.tif","sensillum length","F2","olfactory","trichoid",13.166,"3","cyan","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f2_L.tif","sensillum length","F2","olfactory","trichoid",13.378,"4","cyan","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f2_L.tif","sensillum length","F2","olfactory","trichoid",11.917,"5","cyan","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f2_W.tif","sensillum width prox","F2","mechano",NA,6.515,"1A","green","visual","female",13.336
"NCC Ent 13","Aspisoma sp","Aspisoma_sp_M_f2_W.tif","sensillum width med","F2","mechano",NA,2.408,"1B","green","visual","female",13.336
